Henry Hudson Park,Spuyten Duyvil Park,Henry Hudson/Pauls Park,Washington Bridge Park,Bridge Park,Isham Park
Clove Lakes Park,Bath Beach Playground,Father Macris Park,Claremont Park,Cedar Playground,Hero Park
Betsy Head Park,Mapes Avenue Ballfield,Mahoney Playground,Alabama Avenue Playground,Breukelen Ballfields,IS 2 Playground/Midland Field
Kenkeleba House Garden,6bc Botanical Garden,6BC Botanical Garden,Liz Christy Garden,La Plaza Cultural,La Plaza Cultural Garden
Park 900,Marlborough,Connaught Tower,"985 FIFTH AVENUE, New York, NY 10075",Carlton Towers,Gilman Hall
La Plaza Cultural Garden,Harris Garden,Sugar Hill Garden,Mobilization For Change,El Sol Brilliante Jr,Liz Christy Garden
The Battery,Franklin D Roosevelt Four Freedoms Park,Bowling Green Park,General Worths Square Park,Lighthouse Park,Manhattan Park Lawn
Collect Pond Pk/Leonold St Fld,Madison Square Park,Long Pond Park Addition,Long Pond Park,Marcy Green North Park,Allison Park
Sara D. Roosevelt Parkway Plgd,Sara D. Roosevelt Parkway Plgd,Crowley Playground,Roy Wilkins Recreation Center,John J Carty Park,Summit Street Community Garden
Mill Rock Plaza,River Tower,"111 EAST 85 STREET, New York, NY 10028",Marlborough,1 Dag Hammarskjold Plaza,Carlton Park
One East River Place,HarperCollins,"499 PARK AVENUE, New York, NY 10022",Park Avenue Plaza,UNICEF House,"747 THIRD AVENUE, New York, NY 10017"
"15 CLIFF STREET, New York, NY 10038","130 WILLIAM STREET, New York, NY 10038",citizenM Bowery,Two Gold,Verizon Building,"33 BEEKMAN STREET, New York, NY 10038"
Grant Avenue Park,Powell St Block Assoc Park,Spencer St Block Association,Tudor Grove Playground,W 87th Street Garden,Java Garden
Blissenbach Marina,Union Square Park,Libertad Urban Farm,Generation X Garden,Jerome Gardens,Red Gate Garden
Manton Playground,Manton Playground,Bayswater Park Addition,Bayswater Park,Utopia Playground,Van Voorhees Park
Marlboro Playground,Wood Park,Peachtree Garden,Washington's Walk,Cypress Hills Change Garden,Ogden Plimpton Playground
Van Dyke Playground,Alley Park,Seeley Street Park,W. 125th Street Esplanade,Isla Verde Garden,Vogue Garden
Catherine Turner Richardson Pk,Marcy Green Center,Middle Village Playground,Rose Hill Park,Nehemiah Park,Faber Pool and Park
McGraw-Hill,30 Lincoln Plaza,Paramount Plaza,1251 Avenue of the Americas,One Penn Plaza,Sheffield
Frank Frontera Park,Osborn Playground,Luis R Lopez Park,Lopez Playground,Lefferts Playground,Alexander Hamilton Square.Park
Hybrid Oaks Woods Park,Crescent Beach Park Addition,Crescent Beach Park,Crescent Beach.Park,Staten Island Historic House,Stapleton  Comfort Station.R84
Corona Mac Park,Frank White Memorial Garden,100 Quincy Street Community Garden,De Colores Community Yard and Cultural Center,De Colores Cmty Yard & Ctr Gar,W. 111th St. Harlem Garden
Francis Lewis Park,Bath Beach Playground,Pier 4 Park,Seton Hospital Site,Seton Park,Waterbury Park/Bufano Plgd
Pelham Bay Park,Pellham Bay Park,Mill Pond Park,Brookfield Park,Prospect Park,Ingram Wood Park
Green Oasis and Gilbert's Garden,Green Oasis/Gilbert's Garden,Green Oasis and Gilbert's Garden,Jefferson Market Garden,Walt L Shemal Garden,Community Garden
Brooklyn Bridge Park,Furman St Tunnel/Pier 4,Queensbridge.Park,Queensbridge Park,Highbridge Park,Maurice Muller Park
Jerome Hill Park,East End Community Garden,Prophecy Garden,Will Washington Memorial Gdn,Brooklyn Marine Park,Sunflower Garden
Dag Hammarskjold Plaza,One Eleven Murray Street,"55 BROAD STREET, New York, NY 10004","1 BATTERY PARK PLAZA, New York, NY 10004",W Downtown Hotel & Residences,Bridge Tower Place
Sheltering Arms Playground,One Room Schoolhouse Park,Summit Avenue Park,6th St & Ave B Comm Garden,South Beach State Park,Preston Community Garden
61 Franklin St Garden,United We Stand Garden,Townsend Garden,Bronx River Parkway Park,Sound View Park,Rockaway Beach Boulevard
Pugsley Creek  Park,Pugsley's Creek Park,Pugsley's Creek,Pugsley Creek Park,69th Street Pier,Peter Minuit Plaza/Battery Pk
Cobble Hill Park,Lowry Triangle,Marcy Green North Park,Nelson Ave Family Park,Nelson Ave Playground Addition,Vinmont Veteran Park
Leif Ericson Park & Square,Leif Ericson Park & Square,Castle Hill Houses Playground,Alexander Hamilton Square.Park,Van Voorhees Park,Glendale Playground
Scarangella Park,Frank Golden Memorial Park,Frank Golden Park,Fairmount Playground,Bryan Park,Calvert Vaux Park Addition
DiGilio Playground,The Backyard,Richmond Parkway,Parks Park Addition Northern,Seabury Park,Christopher J. Igneri Playground
Sailors Snug Harbor Park,Hero Park,132 St Block Association Park,Community Garden Association,John Golden Park,NY Botanical Garden/BX Park
Playground 103 CIII,Frederick Douglass Playground,Twenty Four Sycamores Park,Dean Playground,Power Playground,Abraham Lincoln Playground
Duffy Square Park,Public Place,Dyckman House Museum,Herald Square.Park,Zion Park/Loew Square,Keltch Memorial Park
Walton Ave Aa Park,Walton Ave Aa Park,Norelli Hargreaves Plgd,West 4th Street Courts,Dr. Ronald E. McNair Playground,Mcnair Park
Hope Garden,Alice Kornegay Triangle,First Temple Of David,College Point Industrial Park,Greenbelt Native Plant Center,Sparrow's Nest Community Garden
Bill Brown Playground,Woodtree Playground,Power Playground,Abraham Lincoln Playground,Herman Dolgon Playground,Dean Playground
Jhs 166/Linden Houses Plgd,Sara D Roosevelt Park,Sara D. Roosevelt Parkway Plgd,Sara D. Roosevelt Park,Davidson Ave. Comm. Gardeners,Coffey Park
El Batey Borincano Garden,Nelson Ave Family Park,Nelson Ave Playground Addition,Hammock Grove,Richard Tucker Park,Marcy Green North Park
Jackie Robinson Community Garden,Shiloh Garden,Clifton Pl Memorial Park and Garden,William B. Washington Memorial Garden,Fox Park,Amelia Gorman Park
Hunts Point Market,Park   R-100,Whitney Museum/High Line,Park Strip,Brownsville Green,Hendrick I Lott House
Railroad Playground,Bleecker Playground,Rev Lena Irons Unity Park,Jerome Playground South,Sean's Place,South St Seaport/Burling Slip
Stanley M Isaacs Park,Ten Eyck Plaza,Sunrise Hill Park,Taqwa Commnity Farm,Taqwa Community Farm,First Quincy St Block Association
Galleria,"590 MADISON AVENUE, New York, NY 10022",Philip Morris,"875 THIRD AVENUE, New York, NY 10022","650 FIFTH AVENUE, New York, NY 10019",Trump Tower
Daniel M. O'Connell Playground,Rockaway Community Park,Rev Lena Irons Unity Park,Bealin Square Seth Low Plgd,Seth Low Playground/ Bealin Square,Jerome Playground South
New York Tower,"60 EAST END AVENUE, New York, NY 10028",Crystal House,Claridge House,L'Ecole,Continental Towers
Murray Hill Mews,"166 EAST 34 STREET, New York, NY 10016",Brevard,The Nash,"600 THIRD AVENUE, New York, NY 10016",Sovereign
Dean Playground,Frederick Douglass Playground,Bill Brown Playground,Ramon Aponte Park,Sean's Place,Playground 103 CIII
Park Regis,"211 EAST 70 STREET, New York, NY 10021",Churchill,Carnegie Hill Tower,Dunhill,Sovereign
New 123rd St. Block Assoc. Gdn,Tom Mcdonald Triangle,Warwick Street Greenery Glow Garden,Gardens Of Union,Genesis Park Community Garden,New Vision Garden
Rio,Manhattan Place,International Plaza,Marmara Manhattan,Evans Tower,Corinthian
"499 PARK AVENUE, New York, NY 10022",HarperCollins,New York Palace Hotel,One East River Place,"747 THIRD AVENUE, New York, NY 10017",Tower 49
Rivergate,"600 THIRD AVENUE, New York, NY 10016",Grand Central Plaza,Trump Palace,Sovereign,The Nash
10 Hanover Square,"175 WATER STREET, New York, NY 10038","101 BARCLAY STREET, New York, NY 10007","77 WATER STREET, New York, NY 10005",45 Broadway Atrium,"52 BROADWAY, New York, NY 10004"
Utopia Playground,Rappaport Playground,Sean's Place,Frederick Douglass Playground,Dugan Playground,Hoover - Manton Playgrounds
Highland Park,Fresh Kills Park,Freshkills Park,Kissena Park,Callahan-Kelly Playground,De Matti Park
Carroll Park,Hines Park,Schmul Park,Playground,1 State Street Plaza,Aqueduct Walk
Park   R-100,Hunts Point Market,Park Strip,Public Place,Brooklyn Academy Of Music,Children's Miracle Garden
St. Mark's Garden,Vernon Tandt Block Association,Queens Communication Office,W 104th Street Garden,All People's Church of the Apostolic Faith Community Garden,Daly Ave Garden
Watson Gleason Playground,Waterbury Park/Bufano Plgd,Bronx River Houses Playground,Bronx River Parkwaypark,Crocheron Park,"Martin Luther King, Jr. Playground"
Bmw,"58 WEST 58 STREET, New York, NY 10019",Colonnade,"80 CENTRAL PARK WEST, New York, NY 10023",One Sherman Square,Solow
Convent Garden,Clinton Community Garden,Community Garden,Jefferson Market Garden,George Washington Carver Botanical Garden,6th St and Ave B Community Garden
Alley Park,Seeley Street Park,Glenwood Landing,Sunflower Garden,Kosciusko Street Park,Sunset Park
138th St. Community Garden,Mcdonald Square Park,W 104th Street Garden,Sunset Park,Green Gems Garden,All People's Church of the Apostolic Faith Community Garden
Public Place,Duffy Square Park,Havemeyer Garden,Mount Eden Housing,McDonald Playground,The High Line/Ems Station 7
One Astor Place,Marriott Marquis,"40 WEST 57 STREET, New York, NY 10019",CitySpire,Bertelsmann,United States Trust
Tranquility Farm,Morris-Jumel Ecological Garden,Morris-Jumel Ecological Education Garden,La Isla Garden,West 111th St. People's Garden,Imani II Garden
Heritage Park,Shore Road Park,Hinton Park,Rev George Warren Hinton Park,Isham Park,Riverside Park South
Tower 53,Men's Apparel,Alliance Capital,Lincoln Plaza Towers,Carnegie Mews,Kenilworth
97th Street Block Association,West 104th Street Garden,Sumpter Community Garden,First Temple Of David Park,Bedford Green Park,Sound View Park
"10 WEST 66 STREET, New York, NY 10023",Nevada Towers,Fontaine,Colonnade,"58 WEST 58 STREET, New York, NY 10019",Gloucester
Patrick Van Doren Pocket Park,Vladeck Park,Madison St Block Assoc Garden,Madison Community Greenthumb,Harlem Lane Playground,George Walker Jr. Park
Vogue Garden,Arbutus Woods Park  R-133,Sunshine Community Garden,Garden Of Love,Seeley Street Park,Hoe Avenue Park
All People's Church of the Apostolic Faith Community Garden,Victory Garden's Group,Mcdonald Square Park,138th St. Community Garden,W 104th Street Garden,Grand Canal Court Park
East River Towers,Newbury,Park Towers Medical Plaza,"265 EAST 66 STREET, New York, NY 10065",Windsor,"254 EAST 68 STREET, New York, NY 10065"
Huguenot Ponds Park,Huguenot Ponds Park,Baisley Pond Park,Baisley Pond Park (Q-5),Canarsie Park,Dyckman House Museum
Neighborhood Community Garden,Cypress Hills Change Garden,Wood Park,Peachtree Garden,Joe Holzka Community Garden,Minetta Green Park
P.S. 149 Artsy Bloom Community Garden,Arbutus Woods Park  R-133,Hoe Avenue Park,Elizabeth Langley Memor Garden,Grand Canal Court Park,Sunshine Community Garden
Carmine Recreation Center,Asser Levy Park Expansion,Tottenville Pool,Kosciusko Pool,Sheltering Arms Park,Wagner Houses.Pool
Colonnade,"58 WEST 58 STREET, New York, NY 10019",Bmw,"80 CENTRAL PARK WEST, New York, NY 10023",Gloucester,One Sherman Square
"300 EAST 34 STREET, New York, NY 10016",Continental Towers,Carlton Regency,"245 PARK AVENUE, New York, NY 10167","825 THIRD AVENUE, New York, NY 10022",Westvaco
Brownsville Community Farm,Leave it Better Kids' Garden,Leave It Better Kids' Garden,Patchen Community Square Garden,La Plaza Cultural Garden,La Plaza Cultural
Robert E. Venable Park,Rodney Playground Center,Henry A Whalen Park,Mother Cabrini Park,Fort Independence Park,St. Catherine's Park
Connaught Tower,"345 PARK AVENUE, New York, NY 10154",Westvaco,Carnegie Towers,Continental Towers,"985 FIFTH AVENUE, New York, NY 10075"
Brooklyn Academy Of Music,Brisas Del Caribe,Park Strip,Pier 1,Surfside Garden,McDonald Playground
Owl Hollow Park,Harris Park,St. Michael's Playground,Big Bush Playground,Wards Island Park/NYs Hospital,Alabama Avenue Playground
Greene Av United Neighbors Association Inc,United Comm Centers Garden,United Community Centers - E New York Farms Project,Greene Av United Neighbors Association Inc,United Community Center Garden,Gregory's Garden
Snug Harbor Cultural Center,Snug Harbor Cultural Center,Sailor's Snug Harbor Pk-Addtn,Hero Park,Community Garden Association,132 St Block Association Park
"1166 SIXTH AVENUE, New York, NY 10036",1211 Avenue of the Americas,Le Parker Meridien Hotel,"1301 SIXTH AVENUE, New York, NY 10019",PaineWebber,McGraw-Hill
Lincoln Rd Block Association,Jardin De La Familia Garden,Motor Parkway,Detective Joseph Mayrose Park,Vernon New Harvest Garden,Schneider Sampson Park
Pugsley's Creek,Pugsley's Creek,69th Street Pier,Peter Minuit Plaza/Battery Pk,The Battery,WNYC Transmitter Park
Aqueduct Walk/Barnwell Square,John Paul Jones Park,Cuyler Gore Park,Cuyler Gore Garden,Van Voorhees Park,Dugan Playground
Junction Playground,St. Catherine's Park,St. Vartan Park,St Vartan Park,Grover Cleveland Playground,Waterbury Park/Bufano Plgd
Walton Slope (Park Grass Area),Roy Wilkins Southern Qns.Park,Roy Wilkins-Southern Qns Park,Roy Wilkins-Southern Qns. Park,Tottenville Pool,Kosciusko Pool
Java Garden,Our Little Green Acre/Garden 8,Glenwood Landing,Garden Of Love,Alley Park,Powell St Block Assoc Park
Saks Tower,"712 FIFTH AVENUE, New York, NY 10019",Olympic Tower,"489 FIFTH AVENUE, New York, NY 10017",Park Avenue Plaza,New York Palace Hotel
Jerome Playground South,Rev Lena Irons Unity Park,Corona Golf Playground,Railroad Playground,Sean's Place,White Park
Brower Park/PS 289 Playground,Henry Garnet Garden,Success Garden,E N Y Vocational HS Plgd,The Claremont Community School,Claremont Comm School Garden
Pier 5,Saratoga Blake Garden,Martin Luther King Memorial Pk,Clifton Pl Memorial Pk & Gard,Cedar Tree Garden,Rodney Playground North Park
Crosson Greeen Park,Harvard Playground,Duane Street Park,Collyer Brothers Park,Broad Channel Park,Spargo Park
Fresh Kills /Owl Hollow Park,Owl Hollow Park,Harris Park,St. Michael's Playground,Big Bush Playground,Wards Island Park/NYs Hospital
Luther Gulick Park,Col. Young Playground,Park Of The Americas,Fort Independence Park,St. Nicholas Park,St Nicholas Park
Rodney Park North,Green Valley Garden,Greenthumb Garden,Clara's Garden,St. Ann's Block Association Garden,Williamsburg Bridge Plaza
Angie Lee Gonzales Garden,Elizabeth Langley Memor Garden,Sunshine Community Garden,Dias Y Flores,Culinary Kids Garden,Shield Of Faith Garden
Hattie Carthan Garden,Hattie Carthan Community Garden,Hattie Carthan Herb Farm,100 Quincy Street Community Garden,Frank White Memorial Garden,A. Badillo Community Rose Garden and Park
Henry Hudson/Pauls Park,Washington Bridge Park,Bridge Park,Isham Park,Concrete Plant Park,Fort Tryon Park
Valentino Pier,Lighthouse Park,Franklin D Roosevelt Four Freedoms Park,Bushwick Inlet Park,Brady's Pond Park,North Shore Esplanade
Sound View Park,Vernon New Harvest Garden,Detective Joseph Mayrose Park,Sumpter Community Garden,Lincoln Rd Block Association,Jerome Park
J. Driscoll Tucker Place Plgd,Kelly Street Park,Howard Av Block Association,Harding Park,East Promenade,Laguardia Landing Lights
"200 WATER STREET, New York, NY 10038","17 STATE STREET, New York, NY 10004","520 MADISON AVENUE, New York, NY 10022","767 THIRD AVENUE, New York, NY 10017",One Bankers Trust Plaza,"180 MAIDEN LANE, New York, NY 10005"
"50 LEXINGTON AVENUE, New York, NY 10010",Ascot,Austen House,Strathmore,"243 LEXINGTON AVENUE, New York, NY 10016",Normandie Court
Weeping Beech Park,Hendrick I Lott House,Lemon Creek Park,Steeplechase Park,Brooklyn Bears Rockwell Pl Garden,Richard Tucker Park
Fordham Landing Playground,Kaiser Park,Flushing Fields,Memorial Field Of Flushing,Jacob Joffe Fields,Linnaeus Playground
Harlem Valley Garden,Jane Street Garden,Nolan Park,Townsend Garden,Rockaway Beach Boulevard,Herbal Garden
Montefiore Square Park,James Madison Plaza,811 Family and Friends Garden,Jackson Square.Park,Delury Square Park,Rivercross Lawn
Little Bay Park,Martins Field Playground,Martins Field Playground Addit,Bridge Playground,Little Green Garden,Riverside Park
One Room Schoolhouse Park,Granite St Block Association,Moffat Garden,6th St & Ave B Comm Garden,Lions Pride Playground,Summit Avenue Park
Sitting Area (Park),Butterfly Gardens,Charlton Garden,Eae J Mitchell Park,Cooper Park,Cadman Plaza Park
"425 FIFTH AVENUE, New York, NY 10016","43 PARK PLACE, New York, NY 10007","205 EAST 92 STREET, New York, NY 10128","33 BEEKMAN STREET, New York, NY 10038",W Downtown Hotel & Residences,One Eleven Murray Street
Fort Greene Park,Broad Channel Park,Inwood Park (Sitting Area),Isham Park,Spargo Park,Crosson Greeen Park
Riverside Park,Little Bay Park,Fort Greene Park,Crotona Park,Concrete Plant Park,Washington Square Park
Two Gold,"33 BEEKMAN STREET, New York, NY 10038",citizenM Bowery,"205 EAST 92 STREET, New York, NY 10128","425 FIFTH AVENUE, New York, NY 10016","585 EIGHTH AVENUE, New York, NY 10018"
Dugan Playground,Utopia Playground,Bayswater Park Addition,Bayswater Park,Sean's Place,Rappaport Playground
Grand Army Plaza,One Worldwide Plaza,"55 WATER STREET, New York, NY 10041",One Penn Plaza,One Lincoln Plaza,Deutsche Bank
Mae Grant Playground,Tilden Playground,"Phil ""Scooter"" Rizzuto Park",Gorman Playground,Maple Playground,Belmont Playground
"110 EAST 59 STREET, New York, NY 10022","160 WATER STREET, New York, NY 10038",Goldman Sachs,4 New York Plaza,"100 WALL STREET, New York, NY 10005","475 PARK AVENUE SOUTH, New York, NY 10016"
United Community Centers Youth Farm,United Community Centers - E New York Farms Project,United Community Centers Youth Farm,United Community Center Garden,Gregory's Garden,McKinley's Children's Garden
Padre Plaza Garden,Highland Park Childrens Garden,Community Park,Leave It Better Kids' Garden,Leave it Better Kids' Garden,Patchen Community Square Garden
The Nash,Brevard,Murray Hill Mews,Carlton Towers,Sovereign,"245 PARK AVENUE, New York, NY 10167"
"300 EAST 74 STREET, New York, NY 10021",Laurence Tower,Continental Towers,Fairmont,Carlton Towers,Plaza 400
Joseph C. Sauer Park,Joseph C. Sauer Park,The Backyard,John Andrews Playground,Vinmont Veteran Park,Parks Park Addition Northern
Mosaic Success Garden,St Luke's Playground,Children's Garden,Children's Magical Garden,Morris-Jumel Ecological Education Garden,Morris-Jumel Ecological Garden
Pleasant Park Garden,Rincon Criollo Garden,Union Square Park,Sparrow's Nest Community Garden,Livonia Park,Alice Kornegay Triangle
Georgetown Plaza,1 State Street Plaza,Carlton Regency North,"160 WATER STREET, New York, NY 10038",Wall Street Plaza,4 New York Plaza
Col. Young Playground,Fort Independence Park,Luther Gulick Park,Waterbury Park/Bufano Plgd,Murray Playground,Juniper Valley Park
Father Macris Park,Corlears Hook Park,Tribeca Dog Run,Bushwick Green/Central Knoll,Green Central Knoll,Robert Moses Playground
Marine Park,West 186th Basketball Court,Martin Luther King Memorial Pk,President Street Garden,Carter G Woodson Childrens Pk,Tom Mcdonald Triangle
Frank D. O'Connor Playground,Joseph P Addabbo Memorial Park,Tudor Park,Haggerty Park,Bealin Square Seth Low Plgd,Seth Low Playground/ Bealin Square
Long Pond Park,Long Pond Park,Brookfield Park,Fresh Kills Park,Freshkills Park,Alley Pond Park (Q-1)
Citizens For A Better Community,Gethsemane Garden,Farmers Garden,Sunflower Garden,Alley Park,Madison St Block Assoc Garden
"52 BROADWAY, New York, NY 10004",1 Exchange Plaza,Sony,Marriott Marquis,"101 BARCLAY STREET, New York, NY 10007",One Astor Place
Asser Levy Park,Bill Rainey Memorial Park,Robert Moses Playground,Joyce Kilmer Park,Msgr. McGolrick Park,The Backyard
W 104th Street Garden,Mcdonald Square Park,Vinegar Hill Community Garden,Daly Ave Garden,Sunset Park,President Street Garden
Vesuvio Playground,Vinmont Veteran Park,Corporal John A. Seravalli Playground,The Backyard,Cobble Hill Park,Nelson Ave Playground Addition
400 Montauk Av Block Assn,Demera/Santiago Garden,St Marks Block Assoc Garden,Walt L Shemal Garden,Latinos Unidos Garden,Diamante Garden
Alley Pond.Park,Alley Pond.Park,Alley Pond Park Addition,Alley Pond Park,Long Pond Park,Long Pond Park Addition
Jardin De Las Rosas,Sage Garden,117th St Community Garden,Brisas Del Caribe,Brownsville Green,BSCAH Urban Farm
"80 CENTRAL PARK WEST, New York, NY 10023",Bmw,Colonnade,"58 WEST 58 STREET, New York, NY 10019",Solow,One Sherman Square
McCarren Park,Overlook Park,Playground,Schmul Park,Ewen Park,Gravesend Park
Bryan Park,London Planetree Playground,Playground One Thirty Four CXXXIV,Bryant Hill Garden,William C Bergen Park,Scarangella Park
Collyer Brothers Park,Harvard Playground,Crosson Greeen Park,Duane Street Park,Spargo Park,Broad Channel Park
Stephen A Rudd Playground,Frederick B. Judge Playground,Kaltenmeier Playground,Reinhard E Kaltenmeier Plgd,Ennis Park,Hell's Kitchen Park
Thomas J Cutie Park,St Gregory's Park,Owl's Head Park,Givan Square Park/3 Triangles,South Oxford Park,Walt Whitman Park
110th Street Block Association Garden,Kosciusko Street Park,Wanaqua Garden,Seeley Street Park,Sunset Park,Alley Park
Dunhill,"1850 SECOND AVENUE, New York, NY 10128",Carnegie Hill Tower,St. Luke's-Roosevelt Hospital Center,New Yorker East,Parc East Tower Apartments
Hoe Garden,Bryant Hill Garden,Earth Spirit Garden,London Planetree Playground,Neighborhood Community Garden,Graniteville Quarry.Park
John J Murphy Park,Park Butter Avenue,Carolina Garden,Cooper Square URA,Franklin D Roosevelt Four Freedoms Park,Valentino Pier
East River,East River Park/Marine Co 6,East River Park,John V. Lindsay East River Park,Manhattan Park Lawn,Sutton Place Park
Blue Heron Park Preserve,Forest Park,Arden Heights Woods Park,Riverdale Park,Riverdale Park Addition,Long Pond Park Addition
Stuyvesant Square Park,Stuyvesant Square,Gustave Hartman Square,East Harlem Art Park,Harlem Art Park,Jackson Square.Park
"1 BATTERY PARK PLAZA, New York, NY 10004",1 State Street Plaza,"55 BROAD STREET, New York, NY 10004","160 WATER STREET, New York, NY 10038","1 NEW YORK PLAZA, New York, NY 10004","40 BROAD STREET, New York, NY 10004"
Greeley Square Park,Future Amusement Park,Nellie Bly Park,Milestone Park,Undeveloped Garden,NY Botanical Garden/BX Park
Garden Of Eden,Cooper Square URA,100 Quincy Street Community Garden,The Secret Garden,Surfside Garden,Pier 1
Park Lane Towers,One Eleven Murray Street,"55 BROAD STREET, New York, NY 10004","1 BATTERY PARK PLAZA, New York, NY 10004",W Downtown Hotel & Residences,Bridge Tower Place
Mt Hope Garden,Franklin Memorial Garden,Franklin Memoral Garden,Harvard Playground,Redfern Houses Playground,Crosson Greeen Park
Metropolitan Tower,United States Trust,CitySpire,Flatotel,Bertelsmann,Rihga Royal Hotel
Bank of New York,"59 MAIDEN LANE, New York, NY 10038",Cbs,Deutsche Bank,2 New York Plaza,"55 WATER STREET, New York, NY 10041"
Crescent Beach Park Addition,Hybrid Oaks Woods Park,Staten Island Historic House,Blueberry Park,Pier 4 Park,Beach 9 Playground
Mobilization For Change,Latinos Unidos Garden,Campos Garden,Two Coves Community Garden,El Sol Brilliante Jr,Imani II Garden
Alley Pond Park Addition,Alley Pond.Park,Alley Pond Park (Q-1),Long Pond Park Addition,Long Pond Park,Fresh Kills Park
John Golden Park,Bill Rainey Memorial Park,Wards Island Park/NYs Hospital,Ferry Point Park,Breukelen Ballfields,Alabama Avenue Playground
Joseph T Mcguire Park,Elmhurst/Veterans Grove Park,Howard Playground,Summit Street Community Garden,Summit St Community Garden,Davidson Ave. Community Gardeners Group
Goodhue Park,Moffat Garden,Elton St Block Association,General Hart Playground,Dias Y Flores Garden,Euclid 500 Block Assoc Garden
Flushing Meadows/Corona Park,Flushing Meadow Corona Park,Flushing Meadows/Corona Park,Van Wyck Playground,Creedmoor Farm Park,Willowbrook Parkway
Mount Prospect Park,Hillside Dog Park,Steuben Playground,Peter Detmold Park,Tompkins Square Park,Corlears Hook Park
W 124th Street Community Garden,A. Badillo Community Rose Garden and Park,Minetta Green Park,Harlem Rose Garden,Joseph Daniel Wilson Garden,6th St and Ave B Community Garden
Family Group Garden,La Isla Garden,Davidson Ave. Comm. Gardeners,Patchen Community Square Garden,Harris Garden,Sugar Hill Garden
"444 EAST 86 STREET, New York, NY 10028",Kenilworth,Tower 53,One Sherman Square,Gilman Hall,Emigrant Savings Bank
Bronx River Houses Playground,Bronx River Parkwaypark,Paerdegat Basin Park,St. Nicholas - Olive St. Garden,St Nicholas-Olive St Garden,A Better Community Garden
Plaza 400,Adams Tower,Newbury,East River Towers,"200 EAST 90 STREET, New York, NY 10128",Somerset
West 186th Basketball Court,Carter G Woodson Childrens Pk,Marine Park,Elizabeth Langley Memor Garden,Prophecy Garden,East End Community Garden
Jackie Robinson Park,St Nicholas Park,St. Nicholas Park,Frederick B. Judge Playground,Belmont Playground,West 4th Street Courts
Glenwood Playground,Harry Maze Playground,Herman Dolgon Playground,Pratt Playground,Dr. Martin Luther King Jr Park,Belmont Playground
St Luke's Playground,Mosaic Success Garden,W. 111th St. Harlem Garden,Coney Island Boat Basin,Grant Park,Garden Of Happiness Addition
Morris-Jumel Ecological Garden,Morris-Jumel Ecological Garden,Tranquility Farm,Dubos Point Wildlife Refuge,Dubos Point Wildlife Sanctuary,Children's Magical Garden
Brust Park,Rocks And Roots Park,Estella Diggs Park,Lowry Triangle,Duane Street Park,Eae J Mitchell Park
"888 SEVENTH AVENUE, New York, NY 10106","1301 SIXTH AVENUE, New York, NY 10019",Toulaine,Nevada Towers,One Sherman Square,Cbs
Rock Garden Park,Skyline Playground,Ennis Park,White Park,Heisser Square Park,Rocks And Roots Park
Park Avenue Tower,"33 BEEKMAN STREET, New York, NY 10038","585 EIGHTH AVENUE, New York, NY 10018",Two Gold,"205 EAST 92 STREET, New York, NY 10128","425 FIFTH AVENUE, New York, NY 10016"
Blue Heron Park,Blue Heron Park,Forest Park,Arden Heights Woods Park,Riverdale Park,Riverdale Park Addition
Abingdon Square.Park,Castle Hill Park,A Better Community Garden,St Nicholas-Olive St Garden,St. Nicholas - Olive St. Garden,The Creative Little Garden
Wellington Estates,Newbury,"265 EAST 66 STREET, New York, NY 10065",Windsor,Delegate,"980 FIFTH AVENUE, New York, NY 10075"
Westvaco,Continental Towers,"345 PARK AVENUE, New York, NY 10154",Fairmont,Carlton Regency,Carnegie Towers
Laurelton Playground,Power Playground,Abraham Levy Memorial Park,Centreville Playground,Lincoln Terrace / Arthur S. Somers Park,Greenwood Playground
CEP Community Garden,Harlem Rose Garden,I.L. Peretz Square Park,Hammock Grove,City Hall Park,Gustave Hartman Square
Peter Minuit Plaza/Battery Pk,The Battery,Franklin D Roosevelt Four Freedoms Park,Bowling Green Park,General Worths Square Park,Lighthouse Park
"353 EAST 83 STREET, New York, NY 10028","950 THIRD AVENUE, New York, NY 10022","800 THIRD AVENUE, New York, NY 10022",Adams Tower,"200 EAST 90 STREET, New York, NY 10128",Murray Hill House
McDonald Playground,Public Place,Brooklyn Academy Of Music,William F Moore Park,Pier 1,Havemeyer Garden
Spencer St Block Association,Our Little Green Acre/Garden 8,Tudor Grove Playground,Grant Avenue Park,Powell St Block Assoc Park,Grand Canal Court Park
"1155 SIXTH AVENUE, New York, NY 10036",Symphony House,"108 FIFTH AVENUE, New York, NY 10011","50 WEST STREET, New York, NY 10006","1250 BROADWAY, New York, NY 10001","1700 BROADWAY, New York, NY 10019"
Butterfly Gardens,Sitting Area (Park),Peaceful Valley Garden,Charlton Garden,Rose Hill Park,Annadale Park
Joyce Kilmer Park,Bill Rainey Memorial Park,Vesuvio Playground,The Backyard,Richmond Parkway,Father Macris Park
Flatotel,1325 Avenue of the Americas,Metropolitan Tower,CitySpire,Rihga Royal Hotel,Bertelsmann
Huguenot Ponds Park  R-131,Huguenot Ponds Park,Huguenot Ponds Park R-131,Baisley Pond Park,Baisley Pond Park (Q-5),Canarsie Park
