Name,type,boro,zipcode,longitude,latitude,address,summary
Macombs Dam Park,Community Park,Bronx,10451,-73.928169,40.828764,,Macombs Dam Park məKOOMZ is a park in the Concourse section of the Bronx New York City The park lay in the shadow of the old Yankee Stadium when it stood between Jerome Avenue and the Major Deegan Expressway near the Harlem River and the Macombs Dam Bridge The park is administered and maintained by the New York City Department of Parks and Recreation The majority of Macombs Dam Park was not open to the public from August 2006 when construction began on the new Yankee Stadium to April 2012The 28425acre 115030 m2 park prior to the stadium construction featured baseball and softball diamonds basketball courts and football and soccer fields Portions of the park are often used during New York Yankees home games to provide overspill parking for vehicles in an area underserved by garages and other parking facilities
Spring Creek Park,Nature Area,Brooklyn,11208,-73.862347,40.659554,,Spring Creek Park is a public park along the Jamaica Bay shoreline between the neighborhoods of Howard Beach Queens and Spring Creek Brooklyn in New York City Created on landfilled former marshland much of the park is an undeveloped nature preserve with only small portions accessible to the public for recreationSpring Creek Park consists of three major parts which surround the parks eponymous creek and several smaller waterways Spring Creek South comprises the section on the Queens side south of the Belt Parkway which consists mostly of a marsh and forest on the shore of the Howard Beach peninsula surrounding the neighborhood on its western and southern sides Spring Creek North consists of a largely fencedoff section of land north of Belt Parkway it straddles the BrooklynQueens border which runs along Spring Creek A third section of parkland was built around the Gateway Center shopping mall which is located north of Belt Parkway on the Brooklyn side The southern section is part of the Gateway National Recreation Area and under the jurisdiction of the National Park Service while the northern and Gateway Center portions are managed by the New York City Department of Parks and Recreation A park along Spring Creek was first proposed in 1930 by the New York Park Associations Metropolitan Conference on Parks It was ultimately decided that the park be built upon fill since the site mostly consisted of marshland Spring Creek Park was approved in 1942 and landfilling operations began in 1949 Temporary landfills for waste disposal were operated at the future park site until the South Shore Incinerator along Spring Creek was completed in 1954 The southern section of Spring Creek Park was integrated into the Gateway National Recreation Area in 1974 In the 1990s the northern section of the park was expanded via land acquisition and in 2003 The Related Companies built extra parkland as part of Gateway Centers construction The New York state government plans to open a state park along the Brooklyn coastline south of the Gateway Center section of the park in 2019
Joyce Kilmer Park,Community Park,Bronx,10452,-73.92266,40.828526,Grand Concourse,The Lorelei Fountain also known as the Heinrich Heine Memorial is located on East 161st Street in the Concourse section of The Bronx New York City near the Bronx County Courthouse It is a white marble fountain dedicated to the memory of the German poet and writer Heinrich Heine Heine had once written a poem devoted to the Lorelei a feminine water spirit much like a mermaid that is associated with the Lorelei rock in St Goarshausen Germany The monument was originally to be placed in Heines hometown of Düsseldorf but antisemitism and nationalist propaganda in the German Empire precluded the completion of the monument on Heines 100th birthday in 1897 Instead it was unveiled on July 8 1899 in the presence of the sculptor Ernst Herter in The Bronx
Dante Park,Triangle/Plaza,Manhattan,10023,-73.982544,40.771811,Broadway,Dante Park is a public park in Manhattan New York City located in the Upper West Side neighborhood in front of Lincoln Center near Central ParkDante Park park was established in 1921 by ItalianAmericans in honor of the Italian poet Dante Alighieri 12651321 on a triangular plot of land opposite Lincoln Center bounded by Broadway Columbus Avenue and West 64th Street Carlo Barsotti the editor of the ItalianAmerican newspaper Il Progresso ItaloAmericano originally wanted to erect a much more substantial statue of Dante to be placed in Times Square around 1912 but because of fundraising difficulties opted for a smaller statue completed by Ettore Ximenes to be erected at Broadway and West 64th Street in 1921 the 600th anniversary of Dantes death Dante Park underwent renovations in the early 1990s funded by the neighboring Radisson Empire Hotel with the sculpture also repairedA Dante Alighieri statue of the same casting as Dante Park is featured at Meridian Hill Park in Washington DC
One Lincoln Plaza,Privately Owned Public Space,Manhattan,10023,-73.981407,40.771515,1 Lincoln Plaza,1 Lincoln Plaza is a mixeduse commercial and luxury residential condominium building in New York City with 43 floors and 671 units Construction began in 1971 The building is in the heart of the Lincoln Center neighborhood Completed and ready for occupancy in 1974 the building is divided into eight floors of commercial space and 36 floors of luxury residential apartments The roof which is often considered the 44th Floor is home to the buildings private fitness club called Top of the One
Fort Greene Park,Community Park,Brooklyn,11205,-73.975511,40.691525,100 Washington Park,Fort Greene Park is a cityowned and operated park in the Fort Greene neighborhood of Brooklyn New York City The 302acre 122 ha park was named after the fort which was formerly located there originally named Fort Putnam and then renamed Fort Greene in 1812 for Nathanael Greene a hero of the American Revolutionary WarAcross the street from the DeKalb Avenue entrance at Ft Greene Place is Brooklyn Technical High School To the west is the oldest hospital in Brooklyn Brooklyn Hospital Center North of the park are the Walt Whitman Houses one of the largest housing projects in New York City
Brooklyn Bridge Park,Community Park,Brooklyn,11201,-73.997986,40.697718,146 Furman Street,Brooklyn Bridge Park is an 85acre 34 ha park on the Brooklyn side of the East River in New York City Designed by landscape architecture firm Michael Van Valkenburgh Associates the park has revitalized 13mile 21 km of Brooklyns postindustrial waterfront from Atlantic Avenue in the south under the Brooklyn Heights Promenade and past the Brooklyn Bridge to Jay Street north of the Manhattan Bridge The site includes Brooklyn Piers 16 the historic Fulton Ferry Landing and the preexisting EmpireFulton Ferry and Main Street Parks Two Civil Warera structures Empire Stores and the Tobacco Warehouse will also be integrated into the park After the city and state signed a joint agreement in 2002 site planning and project funding proceeded with construction started in 2008 using land reclaimed using soil from the new World Trade Center siteBrooklyn Bridge Park is overseen by Brooklyn Bridge Park Corporation a notforprofit entity responsible for the planning construction maintenance and operation of the park The Corporations mission is to create and maintain a world class park that is a recreational environmental and cultural destination enjoyed by residents of and visitors to New York City
John Jay Park,Community Park,Manhattan,10075,-73.949483,40.769239,76-01 Fdr Drive,John Jay Park is a 33acre 13000 m2 park in the New York City borough of Manhattan It is located between East 76th and 78th Streets and between the FDR Drive and a short street called Cherokee Place on Manhattans Upper East Side The park is named for statesman and New York Governor John JayIn 1902 the city acquired through condemnation a parcel of land at the site of the park and opened a public bath house in 1906 A swimming pool and promenade was built nearby from 1940 to 1942 part of a Work Projects Administration construction program In 1941 the bath house was renovated to include an auditorium recreation room gym and changing facility which could accommodate 1002 male and 590 female bathers In 2010 a substantial upgrade was completed on the bath house allowing visitors who are disabled to have full access to the facilities A large playground occupies almost half of the parks total acreage The remaining half has basketball courts handball courts and the pool and bath house The park is used for physical education classes by Eleanor Roosevelt High School Lycée Français de New York East Side Middle School and PS 158
Plaza Lafayette,Triangle/Plaza,Manhattan,10033,-73.941598,40.851551,,Plaza Lafayette is a small 009acre 0036 ha park and surrounding streets in the Hudson Heights neighborhood of Washington Heights Manhattan New York City Named after the Marquis de Lafayette the French hero of the American Revolution the park is roughly trapezoidal in shape and is bounded by Riverside Drive originally called Boulevard Lafayette in this area on the west the westbound lane of West 181st Street also called Plaza Lafayette here on the north the eastbound lane of West 181st StreetPlaza Lafayette on the south and Haven Avenue on the east The land was acquired by the city on February 23 1918The park itself has no amenities but across what is now Riverside Drive is a small viewing area This and the parklet itself are located near the highest natural point in Manhattan about 5 block away in Bennett Park and the viewing platform has unobstructed views of the George Washington Bridge the Hudson Palisades and the Hudson RiverThe platform has stairs leading down to what is now the Henry Hudson Parkway which was once Riverside Drive The staircase is now gated off but can still be seen from the Hudson River Greenway on the other side of the parkway which is reachable by a pedestrian bridge about a block north of the Plaza
Zion Triangle,Triangle/Plaza,Brooklyn,11212,-73.918671,40.668694,Pitkin Avenue,Brownsville is a residential neighborhood located in eastern Brooklyn in New York City The 1163squaremile 301 km2 area that comprises Brownsville has 58300 residents as of the 2010 United States Census The neighborhoods boundaries are unclear but it is generally bordered by Crown Heights to the northwest Bushwick and Cypress Hills to the north New Lots to the east Canarsie to the south and East Flatbush to the west Founded in its current incarnation in 1858 initially a settlement composed of Jewish factory workers Brownsville underwent a major demographic change in the 1950s that saw an influx of AfricanAmerican and Latino residents Since then it has consistently held one of the highest poverty and crime rates of any neighborhood in New York City
Mill Rock Park,Natural Area/Wetland/Wildlife Refuge,Manhattan,,-73.938092,40.780898,Fdr Drive,Mill Rock is a small unpopulated island between Manhattan and Queens in New York City It lies about 1000 feet 300 m off Manhattans East 96th Street south of Randalls and Wards Islands where the East River and Harlem River converge Mill Rock is located at Hell Gate which was an infamously treacherous area for ships to pass 
Alley Pond Park,Natural Area/Wetland/Wildlife Refuge,Queens,11362,-73.742474,40.757793,240 Street,Alley Pond Park is the secondlargest public park in Queens New York City It occupies 655294 acres 265188 ha most of it acquired and cleared by the city in 1929 as authorized by a resolution of the New York City Board of Estimate in 1927 The park is bordered to the east by Douglaston to the west by Bayside to the north by Little Neck Bay and to the south by Union Turnpike It is run and operated by the New York City Department of Parks and Recreation The park contains the Queens Giant an old tulip poplar Liriodendron tulipifera that is the tallest carefully measured tree in New York City and probably the oldest living thing in the New York metropolitan areaCross Island Parkway transects the park from north to south while the Long Island Expressway and Grand Central Parkway transect the park from east to west South of the Long Island Expressway there are woodlands and north of it there are meadowlands The Alley Pond Environmental Center with a library museum and animal exhibits is located in the northern part of the park on the south side of Northern Boulevard
2 New York Plaza,Privately Owned Public Space,Manhattan,10004,-74.010607,40.702266,125 Broad Street,Fixed 125 Broad Street formerly known as 2 New York Plaza is a 40story office building located at the intersection of Broad Street and South Street in the Financial District of Lower ManhattanIt was designed by the Kahn Jacobs architecture firm and the construction took place from 1974 to 1977 The building is 153 meters high and is located on the east side of the building 1 New York Plaza and the south side of 55 Water Street It has a modern structural design and is one of a series of modernstyle buildings built in the Financial District during the 1960s and 70s Starting in 2007 the managers began incorporating energy saving renovations to meet LEED Silver standards Building amenities include onsite management day care a coffee shop shoe shine and a 50car garageIt is located at the very southernmost tip of the island of Manhattan and is within walking distance of South Ferry
East River Park,Park,Manhattan,10002,-73.972054,40.7255,Grand Street,East River Park also called John V Lindsay East River Park is 575acre 20 ha public park located on the Lower East Side of Manhattan part of the New York City Department of Parks and Recreation The park stretches along the East River from Montgomery Street up to 12th Street on the east side of the FDR Drive The southern entrance boasts good views of the Manhattan Bridge and Brooklyn Bridge The amphitheater built in 1941 just south of Grand Street has been reconstructed and is often used for public performances The park includes football baseball and soccer fields tennis basketball and handball courts a running track and bike paths including the East River Greenway Fishing is another popular activity The park is bisected by the Williamsburg Bridge Conceived in the early 1930s by Robert Moses East River Park opened on July 27 1939 Prior to this time the East River waterfront had been an active shipping yard and later became home to many of the citys poorest immigrants The park became the largest open green space on the Lower East Side Since that time the park has been encroached upon by various developments such as the widening of the FDR Drive and the extension of South Street Still the park provides a respite for residents of the Lower East Side particularly in summer months when there are refreshing breezes from the river In 1998 through an agreement with the New York City Parks Department the Lower East Side Ecology Center became the steward of the park For 20 years this local environmental nonprofit has been the caretaker of the park and has had its offices and education center inside the Fire Boat House located in the park near the Williamsburg Bridge Each year the Ecology Center leads thousands of volunteers in upkeeping the park tending to garden beds and enhancing the park by planting native plants and bulbs After the September 11 2001 attacks the city rebuilt the amphitheater which had fallen into disrepair A new soccer field was also built at this time Companies throughout the US donated materials for the reconstruction and the project was finished in record time The project was dedicated to those children who lost parents in the attacks In December 2001 East River Park was renamed after former New York City Mayor John LindsayIn 2008 the City Parks Foundation brought free music dance and theater arts programming to the amphitheater in an effort to further engage the surrounding communities in the revitalization of the park The first performance held was a music concert by Fiery Furnaces which drew an audience of 1500 KRSOne and Willie Colón also performed in 2008 drawing crowds upward of 3000 people
Carl Schurz Park,Neighborhood Park,Manhattan,10028,-73.9435,40.77514,97 East End Avenue,Carl Schurz Park German ʃʊɐts is a 149 acres 60 ha public park in the Yorkville neighborhood of Manhattan New York City named for Germanborn Secretary of the Interior Carl Schurz in 1910 at the edge of what was then a solidly GermanAmerican community of Yorkville The park contains Gracie Mansion the official residence of the Mayor of New York
Flushing Fields,Community Park,Queens,11354,-73.817166,40.77596,25-03 149 Street,Flushing Fields is a public park in the northern section of the Flushing neighborhood of Queens New York The site of this park was purchased by the Memorial Field of Flushing Corporation in 1921 at what was at the time open farmland From its beginning the park served as the home field for the softball football and track teams from Flushing High School The name of the park and monument at its southern section honor residents of Flushing killed in the First World War In 1930 the income generated by sports games at Memorial Field failed to meet the tax burden for the property and its owners approached the City offering to transfer a portion of the field to the Parks Department as a playground The central section of the property containing an athletic field and grandstand was transferred in the following year to the Board of Education for continued use by Flushing High School In 1935 the bequest of Flushing Fields to the City was recorded and an Art Modernestyle memorial was completed on the southern portion of the property The Flushing War Memorial is unique in that it honors both men and women Its location in a public park not only recognized the individuals who died but also serves as a constant reminder to the neighborhood of the great sacrifice made by local residents for the county The granite stele carries a bronze plaque inscribed with 70 names and a quote from the Gospel of John 1513 Greater love hath no man than this that a man lay down his life for his friends Following the Citys acquisition of Flushing Fields the site was divided into three sections the Memorial Field of Flushing on Bayside Avenue which contains the Flushing War Memorial the Flushing High School Memorial Field in the center and the Leonardo Ingravallo Playground on the northern section of the site The playground contains a baseball field two softball fields courts for basketball handball and tennis and a playground The playground was reconstructed in 1995 and the ballfield in 2003 updating the play equipment with safety features and improved drainage Flushing Fields remains a popular venue for organized sports in Flushing a lasting gift to the city by the neighborhoods residents
Astoria Park,Park,Queens,11105,-73.917167,40.784616,20-80 Shore Boulevard,Astoria Park a 5996acre 242600 m2 park located along the East River in the New York City borough of Queens contains one of the largest open spaces in Queens The park is operated and maintained by the New York City Department of Parks and Recreation Situated in Astoria and adjacent to the Triborough Robert F Kennedy and Hell Gate Bridges the park contains New York Citys oldest and largest swimming pool The outdoor 54450squarefoot 5059 m2 pool planned by Robert Moses was used for qualifying events for the 1936 and 1964 Summer OlympicsOther attractions include bocce courts fourteen tennis courts two playgrounds a skatepark basketball courts and one track for running One of the playgrounds Charybdis Playground is across the Hell Gate from Scylla Point on Wards Island In 2001 the two features were named after Scylla and Charybdis two water hazards described in Homers Odyssey after Henry Stern petitioned the federal government to rename what was then known as Negro Point The names stem from the dangerous whirlpools in the waters of the Hell Gate On Independence Day the Queens Symphony Orchestra plays in Astoria Park during the fireworks show Upcoming events are posted on the parks department websiteThe park was formerly the site of a Native American settlement and is close to where the General Slocum caught fire and sunk in 1904
Hamilton Fish Park,Community Park,Manhattan,10002,-73.980766,40.719703,East Houston Street,Hamilton Fish Park Pool was built by the New York City Parks Department using Works Progress Administration funds It opened in June 1936 Located in the Lower East Side the facility includes extensive facilities for filtering and purifying water underwater lighting and separate diving and wading pools The largest pool has a main swimming area measuring 330 feet in length with a width of 165 feet The pool situated at East Houston Street and Pitt Street cost 1000000 to build The park and pool are named after Hamilton Fish a 19thcentury politician who grew up in the neighborhood
Albert Capsouto Park,Triangle/Plaza,Manhattan,10013,-74.005993,40.721994,68 Varick Street,Albert Capsouto Park formerly CaVaLa Park is a triangularshaped pocket park in the Tribeca neighborhood of lower Manhattan in New York City It is bounded by Canal Street to the northeast Varick Street to the west and Laight Street to the southGround was broken on the park in September 2008 Opened in November 2009 the park cost approximately 34 million to build Formerly the site was a parking lot Following September 11 2001 the lot was used as a staging area for search and rescue operations In the following weeks members of the public placed flowers cards and letters at the site as it was one of the closest points to the former World Trade Center which was accessible The park features a 114foot fountain designed by local artist Elyn Zimmerman which refers to the canal which formerly ran along the path of Canal Street In 2007 the design concept was recognized for Excellence in Design by the New York City Public Design CommissionThe original name CaVaLa referred to the streets surrounding the park CanalVarickLaight and was described by one nearby resident as kitschy A few months after it opened a movement was started to rename the park after Tribeca restaurateur and community activist Albert Capsouto who had recently died Capsouto had been a member of CB1 for twenty years before his death and was frequently seen riding his bicycle around Tribeca The name was officially adopted in 2010 
Brooklyn Botanic Garden,Buildings/Institutions,Brooklyn,11225,-73.96387,40.667719,1000 Flatbush Avenue,Brooklyn Botanic Garden BBG is a botanical garden in the borough of Brooklyn in New York City Founded in 1910 and located in Mount Prospect Park next to Prospect Park and the Brooklyn Museum the 52acre 21 ha garden includes a number of specialty gardens within the Garden plant collections and the Steinhardt Conservatory which houses the C V Starr Bonsai Museum three climatethemed plant pavilions a white castiron and glass aquatic plant house and an art gallery The Garden holds over 14000 taxa of plants and each year has over 900000 visitors
Robert Moses Playground,Park,Manhattan,10017,-73.968695,40.748081,724 1 Avenue,Robert Moses Playground is a 13acre 053 ha playground and park in the New York City borough of Manhattan It is located in the Murray Hill neighborhood on First Avenue between 41st and 42nd streets immediately south of the United Nations Headquarters The park is named for New Yorks master builder Robert Moses
Father Demo Square,Triangle/Plaza,Manhattan,10014,-74.00214,40.730235,,Father Demo Square is a 025acre 010hectare triangular park and piazza bounded by Sixth Avenue Bleecker Street and Carmine Street in the South Village neighborhood of Lower Manhattan New York City The park is named for Father Antonio Demo who was the pastor of the neighboring Our Lady of Pompeii Church from 1897 to 1935 The church was relocated to Carmine Street in 19261928 to accommodate an extension of Sixth Avenue south of Bleecker Street which created the triangular plot of land The park located opposite Carmine Street from the church was established in 1923 with the Sixth Avenue extension and the land was improved turning it into a park and named it in a tribute to DemoThe square was renovated in 2007 which entailed the installation of the current stone fountain the low fence around the square and the expansion of the sidewalk into Bleecker and Carmine Streets
One Liberty Plaza,Privately Owned Public Space,Manhattan,10006,-74.010843,40.709754,1 Liberty Plaza,One Liberty Plaza formerly the US Steel Building is a skyscraper in Lower Manhattan in New York City at the location of the former Singer Building tallest structure ever dismantled and the former City Investing Building One Liberty Plaza is currently owned and operated by Brookfield Office Properties The building is 743 ft 226 m tall and has 54 floors It was completed in 1973 At 2300000 sq ft 210000 m2 each floor offers almost 1 acre 040 ha of office space making it one of the largest office buildings in New York Its facade is black consisting of a structural steel frame The building was originally commissioned by US Steel It once housed the headquarters of Merrill Lynch Currently a variety of tenants occupy the space from large law firms to public and notforprofit agencies like the Lower Manhattan Development Corporation and the World Trade Center Memorial Foundation as well as new businesses The building is bordered by Broadway Cortlandt Street Church Street and Liberty Street South of the building is Zuccotti Park formerly called Liberty Plaza Park
Steeplechase Park,Community Park,Brooklyn,11224,-73.984394,40.574586,1904 Surf Avenue,Steeplechase Park was an amusement park in the Coney Island area of Brooklyn New York created by George C Tilyou 18621914 which operated from 1897 to 1964 It was the first of the three original iconic large parks built on Coney Island the other two being Luna Park 1903 and Dreamland 1904 Steeplechase was Coney Islands longest lasting park Unlike Dreamland which burned in a fire in 1911 and Luna Park which despite early success saw its profitability disappear during the Great Depression Steeplechase had kept itself financially profitable The Tilyou family had been able to adapt the park to the changing times bringing in new rides and new amusements to Steeplechase such as the Parachute Jump
One Penn Plaza,Privately Owned Public Space,Manhattan,10001,-73.992374,40.751263,1 Pennsylvania Plaza,One Penn Plaza 1 Penn Plaza is a skyscraper in New York City located between 33rd Street and 34th Street west of Seventh Avenue and adjacent to Pennsylvania Station and Madison Square Garden It is the tallest building in the Pennsylvania Plaza complex of office buildings hotels and entertainment facilities 
Blue Heron Park Preserve,Park,Staten Island,10312,-74.178819,40.533158,Community Lane,Blue Heron Park Preserve is a nature refuge on Staten Island New York which has various natural areas including meadows kettle ponds freshwater streams and marshes and woodlands The park maintained by the New York City Department of Parks and Recreation was acquired by the city in several parcels between 1974 and 2001 with the official dedication taking place on October 22 1996 The extensive wetlands in the park are part of the Blue Belt an area of Staten Island which utilizes existing and improved undeveloped areas for storm water drainage There are six ponds located within the park including the 175acre 7100 m2 Spring Pond and the 14acre 5700 m2 Blue Heron Pond The park provides habitat to various species of birds including the Blue heron Ardea herodias for which it was named as well as various species of mammals such as bats raccoons grey squirrels and chipmunks The visitors center for the park located off Poillon Ave is the starting point for three trails which traverse different areas of the park
Olympic Tower,Privately Owned Public Space,Manhattan,10022,-73.976082,40.759152,645 Fifth Avenue,The Olympic Tower is a 51story building in Midtown Manhattan in New York City on Fifth Avenue It is between East 51st Street and East 52nd Street The exact address is 641 Fifth Avenue Built in 1975 it was constructed on a site that was occupied by a Best Company Store that was built in 1947 It contains 225 condominium apartments and more than 250000 square feet 23000 m2 of office space and retail space Situated next to St Patricks Cathedral it offers views of the cathedrals buttresses and Fifth Avenue Upon construction it became a prime real estate location for the glitterati of that time The planned use of the building was a groundbreaking concept at that time because it was the first mixed use zoned for Fifth Avenue which had 21 floors of offices 30 of condominiums and highend retail on the first floor It was constructed by shipping magnate Aristotle Onassis and his company Victory Development in joint venture partnership with Arlen Realty Development Corporation Olympic Tower was designed by the architectural firm of Skidmore Owings and Merrill notable for designing the Willis Tower and the John Hancock Center in Chicago among many other highrise buildings in the US and elsewhere Paul Goldberger of the New York Times criticized the buildings architecture as oppressively banalThe completed building housed some of the most luxurious condos in the world at that time 80s billionaire Adnan Khashoggi had a swimming pool installed in his after the building was constructed Other notables who lived there included choreographer director and dancer Ron Field who choreographed the Broadway musicals Cabaret and Applause The NBA offices are located in the tower between the 12th and 20th floorsIn May 2012 real estate investment firm Crown Acquisitions took a 499 percent stake in the tower which was valued at around 1 billion In 2015 Oxford Properties acquired a majority interest Alessandra and Allegra Gucci the daughters of Maurizio Gucci own a penthouse in the building in August 2015 they listed it for saleOn August 23 2012 the Penthouse that belonged to Aristoteles Onassis was purchased by Alejandro Betancourt López a Venezuelan businessman accused of stealing more than 1 billion 1USD MM in dirty contracts with the Venezuelan dictatorship
Long Pond Park,Park,Staten Island,10309,-74.231135,40.516035,Adelphi Avenue,Long Pond Park is a park preserve on the South Shore of Staten Island It is approximately 115 acres 047 km2 in size and consists mainly of woodlands and wetlands that surround Long Pond for which the park is named Long Pond Park is roughly bounded by Hylan Boulevard on the south Page Avenue on the west Amboy Road on the north and Richard Avenue on the east It is an important stopping point for migrating birds in the Atlantic Flyway The majority of parkland was created in 1997 when the Parks Department acquired 90 acres 360000 m2 of land surrounding Long Pond Sixteen acres 65000 m2 were added in 2001 and 16 acres 6500 m2 were added in 2006 In addition to serving as a nature preserve Long Pond Park also forms part of the Staten Island Bluebelt a stormwater drainage system
Ralph Bunche Park,Triangle/Plaza,Manhattan,10017,-73.969744,40.749332,741 1 Avenue,Ralph Bunche Park is a small municipal public park in the Turtle Bay neighborhood of New York City on First Avenue between 42nd and 43rd Streets It was named in 1979 for Ralph Bunche the first AfricanAmerican to win the Nobel Peace PrizeThe park is across First Avenue from the United Nations headquarters This stretch of First Avenue is also known as United Nations Plaza The granite staircase in the parks northwest corner leads to 43rd Street and the Tudor City apartments It was built and dedicated in 1948 during construction of the UN headquarters and has the famous quotation from Isaiah 24 They shall beat their swords into plowshares and their spears into pruning hooks nation shall not lift up sword against nation neither shall they learn war any more incised into its wall Known as the Isaiah Wall it was rededicated in 1975 and had the name Isaiah added under the final word In 1981 the staircase was named the Sharansky Steps in honor of Soviet dissident Natan SharanskyIn the plaza in front of the Isaiah Wall is Peace Form One a stainlesssteel obelisk 50 feet 15 m high erected in 1980 The sculptor Daniel LaRue Johnson b 1938 was a personal friend of Bunche and dedicated the sculpture to Bunche who won the Nobel Peace Prize in 1950Near the southern end of the park is a plaque dedicated in 1990 which commemorates civil rights leader Bayard RustinBecause of its proximity to the United Nations the peace theme of the Isaiah Wall and Peace Form One and Bunches career as a peacemaker the park is a popular site for demonstrations and rallies concerning peace and other international issues In 1985 the park was dedicated as New York Citys first Peace Park The park covers less than a quarter of an acre 1000 m² however so it cannot accommodate major gatherings
Verdi Square,Triangle/Plaza,Manhattan,10023,-73.981492,40.779183,2098 Broadway,Verdi Square is a small triangle of land enclosed by a railing located on Manhattans Upper West Side between 72nd Street and 73rd Street on the south and north and Broadway and Amsterdam Avenue on the west and east On the south the square fronts West 72nd Street across the street to the south lies Sherman Square On the north side the park is enclosed by the Florentine Renaissance palazzo of the Central Savings Bank now Apple Bank for Savings that trapezoidal structure with a vast vaulted Roman banking hall 65 feet high was designed by York and Sawyer and built in 192628 The 72nd Street New York City Subway station 1 2 and 3 trains lies under the square The Verdi Square entrance to the station in the square is one of only three remaining head houses on the IRT BroadwaySeventh Avenue Line
Cunningham Park,Park,Queens,11364,-73.765092,40.739228,Francis Lewis Blvd,Cunningham Park is a 358acre 14 km2 park in the New York City borough of Queens The park lies between the Grand Central Parkway to the south and the Long Island Expressway and is bifurcated by the Clearview Expressway The park is operated by the New York City Department of Parks and Recreation
Wingate Park,Jointly Operated Playground,Brooklyn,11203,-73.944641,40.659255,600 Kingston Avenue,Wingate Park is a suburb of the city of Pretoria South Africa Located southeast of Pretoria CBD and just west of Moreleta Park in a leafy established area that is home to the citys medium expensive real estate 
Damrosch Park,Public Place/Plaza,Manhattan,10023,-73.984995,40.772213,61 Amsterdam Avenue,Damrosch Park is a 24acre 097 ha park that includes the Guggenheim Bandshell in New York City at Amsterdam Avenue and West 62nd Street on the south side of the Metropolitan Opera House and west of the David H Koch Theater at the Lincoln Center for the Performing Arts The bandshell is used for performances The park is named after the Damrosch family a family of musicians Performances take place at the Daniel and Florence Guggenheim Bandshell in the western end of the park above Amsterdam Avenue The south side has street entrances and the northeast corner of the park connects directly to the Centers central plaza The park is used for large events such as New York Fashion Week in August and February the Lincoln Center Festival in July Lincoln Center Out of Doors in August and the Big Apple Circus October through January Some local residents have argued that these events are inconsistent with the parks status as a park and have sued to keep the park available to the public yearround
Estella Diggs Park,Neighborhood Park,Bronx,10456,-73.906177,40.828938,3 Avenue,Estella Diggs Park is a 09acre 036 ha public park in the Morrisania neighborhood of the Bronx In the late 1960s many properties in Morrisania were abandoned and demolished leaving vacant lots that blighted the neighborhood The New York City Parks Department acquired this property in 1978 and it was briefly used as a community garden but later again became vacant At the time community organizer Megan Charlop led a protest effort against the movie Fort Apache The Bronx arguing that it negatively depicted the neighborhood As a compromise the producers issued a 15000 check to the fledgling Rock Greening Association a community land trust Charlop had helped establish to acquire the empty lot where filming took place The lot was then given to the city In 1990 additional lots were acquired by Parks and the site was named Rocks and Roots Park In 2011 a complete reconstruction of the park by Nancy Owens Studio preserved its naturalistic contours while including public gathering and sitting areas handicappedaccessible walking paths and landscaped gardens On November 7 2011 the park was renamed for Estella Diggs in a ceremony attended by Diggs local community leaders and a choir from Diggs church In May 2012 the corner of Fulton Avenue nad East 167th Street facing the park was conamed Megan Charlop Way in honor of her efforts in transforming the undeveloped lot into a public spaceIn 2015 construction commenced on the lowland section of the park expanding its lawns paths and seating areas The park reopened to the public on August 29 2017
Henry Hudson Park,Neighborhood Park,Bronx,10463,-73.919963,40.881329,Independence Avenue,Henry Hudson Park is a small park in the center of Spuyten Duyvil Bronx in New York City located at the intersection of Kappock Street and Independence Avenue The park contains a small overlook above Spuyten Duyvil Creek named Half Moon overlook after the ship Hudson sailed into the eponymous river The park is named after famed English explorer Henry Hudson who is also the namesake of the nearby Hudson River Henry Hudson Parkway and Henry Hudson Bridge In 1906 it was decided to dedicate a monument celebrating the 300th anniversary of Hudsons arrival in what later became Lower New York Bay The project encountered multiple delays but in 1909 the city obtained the money and in 1912 a 100foot 30 m Doric column designed by Walter Cook of Babb Cook Welch was set in place but shortly after funds for the project which had been raised by subscription ran out It was revived by Robert Moses in the late 1930s and by 1938 the area around the monument had been designated as a park and a 16foot 49 m bronze statue of Henry Hudson sculpted by Karl Bitter and Karl Gruppe had been placed atop the column The park underwent major renovations in 1989 and 1995 mainly due to the efforts of local community activist Paul Cymerman For his dedication and volunteerism a small playground area of the park was renamed Pauls Park in 2003 the only New York City park to be named for a living person After his death in 2004 the local community continued his efforts to keep the park safe and clean
Fort Hill Park,Nature Area,Staten Island,10301,-74.081718,40.641091,Fort Hill Park,Fort Hill Park is a 845acre public green space located in the St George neighborhood of Staten Island New York It is located on the slope of the northernmost hilltop on the Dongan Hills ridge During the American Revolutionary War the borough was a stronghold of the loyalist movement welcoming General William Howes occupying army in August 1776 At the summit of Fort Hill Prussian general Wilhelm von Knyphausen 17161800 founded an earthen redoubt In honor of its commander the structure carried the name Fort Knyphausen for the duration of the Revolutionary WarIn January 1780 Von Knyphausen successfully repelled an American assault against the fort The fort also served as a base of operations in raids launched against American positions in New Jersey Following the British evacuation of Staten Island in November 1783 the fort was abandoned with its square base later used as a reservoir The parcel that became Fort Hill Park remained undeveloped as a result of its topography The City purchased the property and it was dedicated as a park on August 2 2004 In 2008 the blue indigo granite and bluestone capstone wall was restored along with a bluestone sidewalk to enhance the historic appearance of the park
