Name,address,summary,long,num_ratings,zip,photo,lat,reviews,boro,rating,amenities,type,hours
Maple Woods Park,Richmond Road,,-74.088284,2,10304,https://maps.googleapis.com/maps/api/place/photo?maxwidth=2322&photoreference=CmRaAAAAutqReengTPKq4gyVZngY80umDLGmOfj43nEpyisqnzdd5slQHB38n-U8SZYx5jkBk5s-FrtLiL3MJBg5K-TQyxdv5lAiut6W339_76PsqN3IdnVQyMdUhekbOOKanEQLEhA8tKe2jeyP9aCbvfeG4vDrGhQBmPMLlo9jV9mU3nqpTNUfHxRJ9Q&key=AIzaSyBYcuFsV7KTFtJsVKVFcrOEhKYhqpv8V7Y,40.61127, /AUTHOR: Carmelo Adorno /RATING: 5 /TEXT: Great /AUTHOR: shushtiman /RATING: 5 /TEXT: ,Staten+Island,5,,Park,unknown
Newtown Playground,92-02 56 Avenue,,-73.869824,35,11373,https://maps.googleapis.com/maps/api/place/photo?maxwidth=1920&photoreference=CmRaAAAAp05fp_0CB8IU_Zj19aEvNFuVRWTEHl-mMt0vnotvTd7vCnAnH1N2EhC4xYyAesviVmnM1ihIchW5_pZ-YPnwW0hRkuEUZW4zZ3nyqUwhrLz1bMlklVpKjZQpQk3KfmeeEhDua05u4JWTXm6Qz1jx9pAhGhR1tdPxhliGFY_os6DiCKT7PrJGYQ&key=AIzaSyBYcuFsV7KTFtJsVKVFcrOEhKYhqpv8V7Y,40.736242," /AUTHOR: Horacio Dortona /RATING: 4 /TEXT: A nice place for the smaller kids to play and enjoy a sunny afternoon. /AUTHOR: Victor Dias /RATING: 4 /TEXT: Nice place for children to play specifically now that summer is approaching.. /AUTHOR: Krista Petre /RATING: 5 /TEXT: Large play area for children with plenty of swings and space to run. There are some shade trees that are nice for the summer. Space for picnics, exercise and relaxation! /AUTHOR: Daniel Zhang /RATING: 4 /TEXT: Everything is in good shape /AUTHOR: Mike Ergin /RATING: 4 /TEXT: Good and quite place. Good for young kids",Queens,4,,Neighborhood Park,"['Monday: 6:00 AM â€“ 9:00 PM', 'Tuesday: 6:00 AM â€“ 9:00 PM', 'Wednesday: 6:00 AM â€“ 9:00 PM', 'Thursday: 6:00 AM â€“ 9:00 PM', 'Friday: 6:00 AM â€“ 9:00 PM', 'Saturday: 6:00 AM â€“ 9:00 PM', 'Sunday: 6:00 AM â€“ 9:00 PM']"
St. Nicholas - Olive St. Garden,Olive Street,,-73.939052,8,11211,https://maps.googleapis.com/maps/api/place/photo?maxwidth=1440&photoreference=CmRaAAAA4aLg19kwcBz19k5IPiPv8jK32IDtNSlOSVB7dDip_DftR6xxEqw0EdN8hYeAvxPGgvyxeY3P6GYQ3NtN2UPiGZ5CFjELq7p7wfnAt-REQiCKdwTvr-TIxTX_-75fN-1CEhBmV8m0J2gTlOTM0Z-G7NHiGhRXOKI02BFk7st3SJeaGdCNmgIy4Q&key=AIzaSyBYcuFsV7KTFtJsVKVFcrOEhKYhqpv8V7Y,40.7133," /AUTHOR: Natasha Montesdeoca /RATING: 5 /TEXT: Simply divine â˜ºï¸è /AUTHOR: Joe Madonia /RATING: 5 /TEXT: Beautiful historical church, built in 1865 /AUTHOR: Diana Bastidas /RATING: 5 /TEXT:  /AUTHOR: Shira Antonio /RATING: 5 /TEXT:  /AUTHOR: Dominick Sciangula /RATING: 5 /TEXT: ",Brooklyn,4.9,,Garden,unknown
Pleasant Village Community Pk,342 Pleasant Avenue,,-73.931595,6,10035,https://maps.googleapis.com/maps/api/place/photo?maxwidth=2448&photoreference=CmRaAAAAKy9gRIzUTibPwNq3WTsxZovuiYL0JUDk5u1eMEhp6YypuNeN6ia33g9AQYVFd2Jvqp8FESwTMo0YrF-_fVYCw4YbjQhjN8fkFvWegRfkWh7q6eM08CTEe33PLiTrMhqoEhAwVkPewxuhT_AeLRzBdcvCGhSCUwuV1jmhH2ken6KGN7GN5ltORQ&key=AIzaSyBYcuFsV7KTFtJsVKVFcrOEhKYhqpv8V7Y,40.796619," /AUTHOR: Felipe Atanacio /RATING: 5 /TEXT: This is great and if you happen to run into CHRIS(MUSEUM CURATOR) she's the nicest person you'll ever meet, next door to them is a group of people that should not be there (drunken every day and drug activity stay away) but the garden is awesome ask about the activities for kids /AUTHOR: Sandra Frias /RATING: 5 /TEXT: Great family place! /AUTHOR: Alicia Koledin /RATING: 5 /TEXT: A great place to get to know your friendly neighborhood gardeners and volunteers.I just joined this year and help take care of our 6 chickens. Lots of little spots to sit in the sun or in the shade and just enjoy the peace and quiet. A nice respite from urban life.  Unfortunately,  the garden might lose part of our land, the best part on the southern side,  that allows the sun to come through and where the chickens and composting are located. HPD wants to use it to develop a residential building, which will be very detrimental to our garden operations. Please alert your council and community representatives and tell them to help us fight to keep it.  /AUTHOR: ned cato /RATING: 5 /TEXT: my friend lives there /AUTHOR: Carlos Garcia /RATING: 4 /TEXT: ",Manhattan,4.7,,Park,unknown
Jhs 145 & Playground (Jop),1000 Teller Avenue,,-73.913812,12,10456,None Available,40.827723," /AUTHOR: haet1422 /RATING: 1 /TEXT: I went here for my 6 grade year in 2k14 and back then I was a esol student and I was barely able to communicate well with staffs that didn't speak Spanish so it was kinda of a nightmare. /AUTHOR: Chris /RATING: 5 /TEXT: I love this school! I been going to this school for 2 years im graduating this year and the teachers helped me a lot. Also the people there are great  /AUTHOR: Tina Nkrumah /RATING: 5 /TEXT: I love the school is good but i havent went to the school yet but i love it so sos much i eish i go to the school /AUTHOR: Juan Victoriano /RATING: 5 /TEXT: I attended JHS 145 from 1996-2000, this place prepared me well for HS. I attended DeWitt Clinton HS in the fall of 2000. I loved 145, thanks for the great memories.  /AUTHOR: Iisha Rutling /RATING: 5 /TEXT: My duaghter ashante. Rodney. Has been in this skool for 3years and I think they are. Great. People ",Bronx,4.2,,Neighborhood Park,unknown
Columbus Park,55 Mulberry Street,,-74.000057,1066,10013,https://maps.googleapis.com/maps/api/place/photo?maxwidth=3264&photoreference=CmRaAAAAhYM69ZR7VVICtLOBYbreSu5bNKtsVA2oQfrxpK3x-1rwxGR013i918JfgcLr3emKM_JuegFO5I-O9tZUBp5DuOXp6KU6obF5VtAd3N_k5gPy8DpEOsDlwfqiO5MG8EbEEhCbol6eivYruNNS4WcfOgxNGhQgBnKEvjbY-CSYkAMtiOCVJxlb2A&key=AIzaSyBYcuFsV7KTFtJsVKVFcrOEhKYhqpv8V7Y,40.714854," /AUTHOR: Katlyn Marie /RATING: 4 /TEXT: This little park in the heart of Chinatown is a good microcosm of the retired life. On any given day, the park is occupied with clusters of senior citizens around the tables. You might wonder why everyone is huddled around the tables. Turns out they're playing Chinese chess.  The game can get intense and crowds can get as big as 30 strong. If you just bought some street food, say from the Chinese Couple Vendor on Canal St, you can take it to this park and watch the interesting people. /AUTHOR: Twanda Fonninger /RATING: 4 /TEXT: There are lots of board and ball games in this area played by locals! It is a nice sight and I appreciate the happiness the people showed in their faces. I would love to pass here every day for sightseeing but this area is far from my house. I removed one star because some corners need some scrubbing. I would definitely come back though. /AUTHOR: Gary Geiman /RATING: 5 /TEXT: Whoever you're close to China Town stop by this park to people watch and take in the culture of the community. You will not be disappointed. I'm always amazed and make this a must stop whenever nearby. /AUTHOR: Leonel BarragÃ¡n /RATING: 5 /TEXT: Historic NYC Chinatown's social hub. There are daily live performance of traditional Chinese Opera tunes but elder amateur musicians, table games and neighborhood chatter. A fine place to watch the Lunar New Year Parades and Festivities in addition to a resting place after visiting the large amount of restaurants, shops and offices in the area. People of all races converge in this place and there are trails, playing fields, basketball courts and playgrounds for anyone to enjoy year round. Restrooms are found near Bayard Street and near the playgrounds south of Bayard Street, between Baxter and Mulberry Streets. /AUTHOR: John L /RATING: 4 /TEXT: Columbus Park is a NYC park, and it is maintained by the City of New York Park's Department.    It is located in Chinatown, NYC,   and situated behind the NYC Criminal Court on Baxter and Bayard Street.    The park is kind of big for a NYC park, and it does have a basketball court, lawn for soccer matches, lots of benches in and outside the park, playground for the kids and toddlers with swings and other equipment.    Then there tables and chairs also, some are chess tables and some are like picnic tables and long benches.  Plenty of tress and bushes also.  So breakfast and lunch in the park is great on beautiful NYC days.  The folks that frequents the park are moms & kids, nanny & kids, kids from schools there for recess, folks playing basketball,  folks playing soccer,  Attorneys,  District Attorneys, judges, Court Officers and Correction Officers.  It is 1 of the safest park in NYC.   However, It would be a great NYC park to enjoy except there is a bunch of middle age and elderly locals ( men and women)  that occupies the park on a daily basis 365 days a year, and they occupied almost all the tables every day.  What these folks do is play all sorts of card games and other table games all day long, and they just grab and hold the tables for their games.  These folks also have some bad habits besides their bad manners, and I can not even name them for you  except to say to they should stop their bad habits in a NYC park.  The park does entertain tons of folks on a daily basis,  and there are NYC  Park's Department employees  on hand throughout the day maintaining  the park.    However, the park always seems dirty and unkempt whenever I visited.   The several public toilets in the park is real dirty and usually overflowing with some water from somewhere.    Do visit the park if you are in the neighborhood,  but remember to hit the bathrooms before you go.  Enjoy.",Manhattan,4.2,,Park,"['Monday: 6:00 AM â€“ 10:00 PM', 'Tuesday: 6:00 AM â€“ 10:00 PM', 'Wednesday: 6:00 AM â€“ 10:00 PM', 'Thursday: 6:00 AM â€“ 10:00 PM', 'Friday: 6:00 AM â€“ 10:00 PM', 'Saturday: 6:00 AM â€“ 10:00 PM', 'Sunday: 6:00 AM â€“ 10:00 PM']"
Our Little Green Acre/Garden 8,275 West  122 Street,,-73.952021,0,10027,None Available,40.808206,None Available,Manhattan,0,,Community Garden,unknown
"17 STATE STREET, New York, NY 10004",17 State Street,Located on a lot bounded by the south side of Pearl Street and the east side of State Street the array of privately owned public spaces at 17 State Street  urban plaza sidewalk widening arcade and public exhibit space  is a marvelous illustration of the diversity within the Citys public space inventory Two of the four spaces are fully outdoors one is covered but otherwise open to the air and the fourth is fully indoors Two have required amenities the others do not Two were approved asofright by the Department of Buildings and received zoning bonuses one was certified by the Chairperson of the City Planning Commission and received a zoning bonus the fourth was a condition of a special permit issued by the Board of Standards and Appeals and was not bonused In short by examining these spaces much can be learned about the Citys program for privately owned public spaceOld and new are juxtaposed here Sandwiched between the silvery metallic tower to the west and the similarly clad onestory shed to the east is the main portion of urban plaza Its swirling rough cobblestone paving and rows of antique parkstyle fixed wood benches want to evoke the historical city even as the office building like a small version of Citigroup Center is poised for takeoff on its multiple piers A bust of author Herman Melville who was born at this site sits in a plexiglasscovered perch entombed within the onestory shed The romance of the park bench is interrupted by the metal rail dividers intended to make slouching difficult and horizontal sleeping impossible a reminder of pressing presentday social issues An unusually tall capacious arcade occupies much of the towers underbelly encircling the Xbeamed glassenclosed lobby core that blocks views from the urban plaza west across State Street and Battery Park to the Hudson River and the Statue of Liberty in the distance Outside stairs in the arcade next to Pearl Street go somewhere but it is impossible to tell exactly where from the vantage point of the arcade or the adjacent sidewalk wideningHistory is literally on display inside the shed to the east where a public exhibit space called New York Unearthed open Monday through Friday 1200 noon to 600 pm serves as the South Street Seaport Museums offsite urban archaeology museum A sixpounder a cannon dumped into the East River before 1789 and recovered from its bottom pointedly welcomes the user at the entrance Pairing archaeological objects with dioramas the glassenclosed displays in this tiny climatecontrolled room offer slices of New Yorks history over 6000 years covering the citys role as a hunting ground for Native Americans as a Dutch and English trading post as an immigrant city filled with tenements and as home to one of the first freeblack communitiesPast the guard and down a long staircase is the basement level where professional archaeologists are visibly at work in a conservation laboratory happy to talk with visitors about the museums collection of artifacts On the wall is a section model showing what lies underneath presentday streets and buildings including for example a privy from the 1810s and old walls There is also a modern operational restroom toward the back A room normally featuring a projection show was closed at a recent site visit as the museum searches for 12000 for a new projector Those intrigued by seeing more of what lies underneath the citys streets and lots may venture several blocks east to the Goldman Sachs building at 85 Broad Street where groundlevel plexiglass hatches in the public space reveal archaeological objects discovered during the construction of that towerHow did 17 State Streets public exhibit space become a required privately owned public space When the developer of the building sought a special permit in 1986 from the Board of Standards and Appeal to modify the height and setback zoning regulations as applied to its building one of the Boards conditions was that the developer agree to provide this space Museums or satellite branches may be found at several other public spaces including the Museum of American Folk Art in the covered plaza at Two Lincoln Square a branch of the Whitney Museum of American Art at the Philip Morris covered pedestrian space and the Newseum at the covered pedestrian space of 590 Madison Avenue,-74.013878,,10004,https://apops.mas.org/wp-content/uploads/2012/10/17-State-Street-20121.jpg,40.702892,,Manhattan,4,"LightingLitter Receptacles: 2Other Required: Public Exhibit Space: archaeological exhibit space designed by Milton GlaserPlanting: Urban PlazaPlaque/SignSeating: Urban Plaza: 210 linear feet including 12.1 lf with backs required, 241 lf including 204 lf with backs including 28 movable chairs providedTables: Urban Plaza: 7Trees on Street: 13Trees within Space: Urban Plaza: 8 required, 9 provided",POPS,24
Demera/Santiago Garden,943 Avenue St John,,-73.902215,2,10455,None Available,40.815201, /AUTHOR: Stephanie Touset-Ortiz /RATING: 1 /TEXT: Not open nor is it a garden.... /AUTHOR: Zamora Davila /RATING: 1 /TEXT: ,Bronx,1,,Community Garden,unknown
Bensonhurst Park,2122 Cropsey Avenue,,-74.000001,758,11214,https://maps.googleapis.com/maps/api/place/photo?maxwidth=4032&photoreference=CmRaAAAALDIRFT1nWgwe3TOkb5F9ueFlYAk6zL_zoeQqylQCPd3WUhBgX1ZGOuUbxg8uYJSwK9ykc4Z_aXJjBxzOkhslsPSQTqTc4LMhz4IFasdsAfq4-2snHDRBKqCYj6bdhOh_EhDkmMl0Jkpj0hCwgmw_713KGhRECSwKfN60WHkNDZ3uEZ9fbE5hlw&key=AIzaSyBYcuFsV7KTFtJsVKVFcrOEhKYhqpv8V7Y,40.597861," /AUTHOR: Colleen Meehan /RATING: 5 /TEXT: Went bike riding down the Caesars bay prominade to the verrazano bridge and back.  Had a great time. With my daughter and a friend. /AUTHOR: Muhammad Anwar /RATING: 5 /TEXT: Nice place _Ÿ‘ç_Ÿ‘è to sit with nice view _Ÿ‘Œ of Belt parkway and Hudson River. /AUTHOR: Barbara Payne /RATING: 5 /TEXT: This was the most fun i have had in a long time /AUTHOR: Robert Green /RATING: 2 /TEXT: Large park  nice place to take children out in a sunny day , not far from the water front . Place for sitting and swings for children's /AUTHOR: Charles D /RATING: 1 /TEXT: Place never once been totally reconstructed in the last 40 years is looks messed up.  But is safe park never heard of anything bad here!",Brooklyn,4.3,,Park,"['Monday: 6:00 AM â€“ 1:00 AM', 'Tuesday: 6:00 AM â€“ 1:00 AM', 'Wednesday: 6:00 AM â€“ 1:00 AM', 'Thursday: 6:00 AM â€“ 1:00 AM', 'Friday: 6:00 AM â€“ 1:00 AM', 'Saturday: 6:00 AM â€“ 1:00 AM', 'Sunday: 6:00 AM â€“ 1:00 AM']"
Umma Park Bmt Row,108 Woodruff Avenue,,-73.962543,0,11226,None Available,40.653503,None Available,Brooklyn,0,,Neighborhood Park,"['Monday: 6:00 AM â€“ 9:00 PM', 'Tuesday: 6:00 AM â€“ 9:00 PM', 'Wednesday: 6:00 AM â€“ 9:00 PM', 'Thursday: 6:00 AM â€“ 9:00 PM', 'Friday: 6:00 AM â€“ 9:00 PM', 'Saturday: 6:00 AM â€“ 9:00 PM', 'Sunday: 6:00 AM â€“ 9:00 PM']"
Garden Party,Glenmore Avenue,,-73.887188,0,11207,https://maps.googleapis.com/maps/api/place/photo?maxwidth=960&photoreference=CmRaAAAAZ6ydtR4kMphkKvnYKzhkFjoj3rtdA0xKdpM-W4Kgil0K0hsfz5dbidarhYNIECLV1UXwm10-1lPhY-0klf7l2ooga4vB1fN_ilMCrUkyHMm4bp4mWSz0XHOIXBN0TrGsEhB5vFKoUomQkjhC7JIhDSEtGhR-NAns9RpF1DpYh_xeiwG_fKWkig&key=AIzaSyBYcuFsV7KTFtJsVKVFcrOEhKYhqpv8V7Y,40.674172,None Available,Brooklyn,0,,Garden,"['Monday: 9:00 AM â€“ 6:00 PM', 'Tuesday: 9:00 AM â€“ 6:00 PM', 'Wednesday: 9:00 AM â€“ 6:00 PM', 'Thursday: 9:00 AM â€“ 6:00 PM', 'Friday: 9:00 AM â€“ 6:00 PM', 'Saturday: Closed', 'Sunday: Closed']"
Green Valley Garden,101 New Lots Avenue,,-73.901598,0,11212,None Available,40.658261,None Available,Brooklyn,0,,Garden,unknown
Captain Tilly Park,165-01 Highland Avenue,,-73.79824,322,11432,https://maps.googleapis.com/maps/api/place/photo?maxwidth=2704&photoreference=CmRZAAAAZu8azzed5hLXE1EzFxDwhUx_T4G7DBRxT6kaF_g2tUqdf_EquWgRNDXXvGM4I9B6t0U5xf-DJgmw1vxVcEF3oEjh4ds4TwRwike42_85FRjPl0aVArUMZqIQnDNEn5LmEhDjn2U6tzCYI8DV5NrLcIxjGhT1DCoCcBFOEvzKgdwL2GVtQNbRXg&key=AIzaSyBYcuFsV7KTFtJsVKVFcrOEhKYhqpv8V7Y,40.711429," /AUTHOR: Keisha Noel /RATING: 4 /TEXT: Nice and quiet. Great place for a stroll at the end of a date. The wildlife was rather friendly /AUTHOR: Anita BuÅ¡iÄ‡ /RATING: 5 /TEXT: Wonderful place to walk, run and have fun. Nature is very beautiful. /AUTHOR: Christopher Hall /RATING: 5 /TEXT: Beautiful, unique, and well maintained. There is a pond, along with plenty of benches. There is space to play sports like cricket or soccer or do yoga, and there are separate hills as well in case you want to get some fitness in. Finally there is a playground for young kids (ages 1-8) /AUTHOR: Rogue Nurse /RATING: 5 /TEXT: I have been in this park a full two hours now. It is so relaxing, I don't want to leave. /AUTHOR: H MC /RATING: 5 /TEXT: Very nice. There are turtles in the lake! Wildest scene I've ever seen in New York. It's like live National Geographic.  The people are really nice too. I ran 4 times around the lake this morning and every time I  passed by this middle age couple we exchanging smiles and nodded at each other.",Queens,4.2,,Neighborhood Park,"['Monday: 6:00 AM â€“ 9:00 PM', 'Tuesday: 6:00 AM â€“ 9:00 PM', 'Wednesday: 6:00 AM â€“ 9:00 PM', 'Thursday: 6:00 AM â€“ 9:00 PM', 'Friday: 6:00 AM â€“ 9:00 PM', 'Saturday: 6:00 AM â€“ 9:00 PM', 'Sunday: 6:00 AM â€“ 9:00 PM']"
Jennifer's Playground,250 Regis Drive,,-74.16313,82,10314,https://maps.googleapis.com/maps/api/place/photo?maxwidth=5312&photoreference=CmRaAAAAf1dnuothbT4zo5RQSot_a7Lf32zHVjJAmeTKnTsAQ_W5dBRTlPTDQNQ3rkRgNGXzQiv9ZvgSA_hGWj_C1ARw9YBPXyU_alfi972ijrQ3wjchg4HShrkRo_kEb3eTUx9BEhCHnGDmGj2QiOC3jdeIsEScGhTKBxOcgs2ojG8B9XmwlACsJHWcUQ&key=AIzaSyBYcuFsV7KTFtJsVKVFcrOEhKYhqpv8V7Y,40.620053," /AUTHOR: johnelle C /RATING: 4 /TEXT: Nice play ground , but there is no where to sit that you can see your  child anywhere  in the park. /AUTHOR: Dan devaney /RATING: 5 /TEXT: lots of jungle gym to keep the kids busy. bathroom smells and teens smoke inside. sprinklers in summer. /AUTHOR: Maria Herrera /RATING: 5 /TEXT: Is a nice and clean park.safe for the kids.beautiful Big Rock and a little river where the kids can play .I went with my 2 years old _Ÿ˜‰ grand son.he was so happy._Ÿ’•_Ÿ˜Å. /AUTHOR: Joseph Ervolino /RATING: 1 /TEXT: Too many bigger kids hanging out /AUTHOR: liberals suck /RATING: 4 /TEXT: Its and ok park great water fountain in the summer.Ther is a  school right down the block that gives out free meals during the summer....nice basketball court swing sets for babys and grown ups lol ther is a huge maze jungle gym..Also ther is 2 pavilions and I believe a bbq spot I see multiple partys ther year round and you will see an icecream truck atleast once",Staten+Island,4.1,,Neighborhood Park,"['Monday: 6:00 AM â€“ 9:00 PM', 'Tuesday: 6:00 AM â€“ 9:00 PM', 'Wednesday: 6:00 AM â€“ 9:00 PM', 'Thursday: 6:00 AM â€“ 9:00 PM', 'Friday: 6:00 AM â€“ 9:00 PM', 'Saturday: 6:00 AM â€“ 9:00 PM', 'Sunday: 6:00 AM â€“ 9:00 PM']"
Courtlandt Avenue Association Garden,366 East 158 Street,,-73.91612,12,10451,https://maps.googleapis.com/maps/api/place/photo?maxwidth=4032&photoreference=CmRaAAAAL9yLq6zZxofh0YhYYsKl87ypYFTVXsazWBnLqszrf5hJk-6GpuAbm1xjYvpIwit9plRBFWph4fkDwYSYqHTSLETsXpVFV-qk_sfYvlFtoC98UqVD3VoWJGp1Th1gqfZGEhAcHAZokJHsiP7_QtVhTF4wGhRh2p909I_69hb2ZlENQRtxOQmtpA&key=AIzaSyBYcuFsV7KTFtJsVKVFcrOEhKYhqpv8V7Y,40.822478," /AUTHOR: Gene Davis /RATING: 1 /TEXT: Pass through that's all /AUTHOR: puppylol o /RATING: 4 /TEXT: It's ok /AUTHOR: Argenis E.Toribio Tavarez /RATING: 3 /TEXT: Great place /AUTHOR: JoAnn S /RATING: 4 /TEXT: Good /AUTHOR: el hadj momar ndiogou ndiaye /RATING: 5 /TEXT: C'est un magasin que j'aime beaucoup parce qu'il y a du tout. Si tu entres Ã  l'intÃ©rieur, tu y trouves tout ce que tu as besoin. Excellent !",Bronx,3.8,,Garden,unknown
Rose Hill Park,East Fordham Road,,-73.89039,38,10458,https://maps.googleapis.com/maps/api/place/photo?maxwidth=3264&photoreference=CmRaAAAAS_O_GtGNwhlDxovT4ovVUmQLs0KFnmBSUf4oT_nZ03jqMsEQFw7u5uWDFqCN6ciQbYDAExz8Kx_6HaviYW6LQBaQTnU8Nx3k2FshU18sqN2ZK9UFa5Hm1T4OT2U9Vb5lEhB9hkVMckDN-YQId5dWMRxxGhSBSIcbww8scULtui55cSHyDuUWWw&key=AIzaSyBYcuFsV7KTFtJsVKVFcrOEhKYhqpv8V7Y,40.862029, /AUTHOR: Carlos Carvajal /RATING: 2 /TEXT: Great place /AUTHOR: Gladys Blanco Gutierrez /RATING: 5 /TEXT: Good park /AUTHOR: TRAIN TRAVELER /RATING: 4 /TEXT: Not bad /AUTHOR: Lucas Tossas /RATING: 5 /TEXT: Quiet place /AUTHOR: Claire Omotayo /RATING: 4 /TEXT: Awesome,Bronx,4.1,,Park,unknown
Brooklyn Academy Of Music,30 Lafayette Avenue,,-73.977698,1414,11217,https://maps.googleapis.com/maps/api/place/photo?maxwidth=2988&photoreference=CmRaAAAAmtRLTYZyaR4WFYuf6Ez82c0jDuFXsKh1I4rfPI2onXpfPQ2Nomf3ykEcHu2uYI45Yx9QavJf6AmYo-U-u3ql3Q0KWplhCNBUsJbAW1VVo0L5YyG0fTooG2KxBP724hmmEhApxrPao58gfq-SzN2pTgMVGhTr80cCKTPjigoFkhusAJ7NrzgfEg&key=AIzaSyBYcuFsV7KTFtJsVKVFcrOEhKYhqpv8V7Y,40.686466," /AUTHOR: Frank Ruiz /RATING: 5 /TEXT: Beautiful building. I have not attended anything else but the movie theater section and it looks very classy and well maintained. The staff are nice and prices for movies are about the same than a regular theater. The movies shown are not Blockbusters which is what I like most. The seating is not fully stadium-like but you can still watch and enjoy the movie. /AUTHOR: Janet Wyllie /RATING: 5 /TEXT: Can't ask for a better space for performances. Love the variety and different levels of acting. Located in a very vibrant neighborhood with lots of options for food before shows. The cafe also offers small bites and a full bar. Will recommend everyone to visit at least once, the friendly ushering staff will make sure of that /AUTHOR: Amy Watson Sanchez Cuoq /RATING: 5 /TEXT: Can't miss gem in #Brooklyn! Great film, dance, opera and music venue.   The #BAM membership is totally worth it for half off tickets, but the movie ticket prices are about the same price, if not even a little cheaper, than the other theaters in the city. I usually buy tickets online and show my email receipt at the door.   It's not too bad finding on street parking on a Sunday, but the subway is the best way to get there. There are 3 buildings, so double check that you are going to the right one. /AUTHOR: Nick Armstrong /RATING: 4 /TEXT: Obviously it's a beautiful arts landmark... Saw/heard a spectacular performance - Les Arts Florissants - which was inspired. The lack of the fifth star comes from some (not all) of the staff, particularly in the front lobby, who can be rude and pushy. I don't appreciate paying $125 for a ticket and then getting barked at and pushed around. Some training, folks, in good customer relations.... /AUTHOR: Ava Brown /RATING: 1 /TEXT: This does not concern their programming or content, but consider this: You are disabled and 57 Your income is below poverty level You are a student You require an aisle seat and an elevator  You want to see a certain performance  You must be under 29 to use the student rush tickets You cannot see the performance from the balcony seats ($35) You cannot pay $65 or $115 for an aisle seat  You cannot walk up those stairs anyway  You want to attend with someone else who meets one those qualifications  There are many seats available (294) for a performance in question-but only for members at the patron level when you check  When you become a member to get 50% off same day tickets your new membership flag says you have exceeded â€œyour number of tickets purchased for this discountâ€ù (you have never purchased any tickets at all!)  What does this tell you about policies regarding education and funding being discriminatory in order to fix ticket prices for certain events? A lot about the administration of the Met and BAM and so-called â€œnon-profitâ€ù organizations getting funding when they openly discriminate and are ageist.",Brooklyn,4.6,,Park,unknown
Jhs 68 And Playground (Jop),956 East   82 Street,,-73.910882,39,11236,None Available,40.635177," /AUTHOR: KokoMo Senpai /RATING: 1 /TEXT: PLEASE READ ! Hello, I was a prior alumni for this school and I prefer to stay anonymous. This school is a painfully hard experience if you are/were a kid just trying to learn or partake in extracurricular activities. The teachers are biased towards certain children. For example, if you were a (troubled) child they would let you freely roam the school whenever you wanted to as well as say whatever you wanted to whoever you wanted without consequence while, If you were a goal oriented/ quiet / non trouble making kid, they wouldn't even let you use the bathroom much less talk out of place once without the risk of detention or a phone home. This slackness not only causes the bad kids to make trouble for the good children but makes the good children aspire to be as bad as the bad kids because of the faculty's negligence and bad decision making along with the perceived privileges to be received amongst being rebellious. How do I know this? I was bullied very harshly (along with my female cousin and my friends) because we were those few kinds of kids still willing to learn the material rather than be bad or make a name for themselves. Also, it would be wise of you to teach your kid how to fight before attending this school because not only does this school have a lot of fights amongst themselves but they also fight other schools aswell ! I was jumped on a staircase, jumped on my way to school later getting stomped out and even had a knife pulled on me. Report after report after report and nothing was done. My mom even went as far as to file a police report and the school tried to lie and say it was off school grounds even though it was inside the school's recess yard. Sadly all the reports aimed towards the faculty fell on deaf ears and nothing was resolved but somehow the bullies heard just fine since they always found out you told on them. So before you were getting fought for no reason and now you were getting fought for snitching. I remember I finally said enough was enough and I tried to walk out. As I neared the door a security guard took me to the assistant principal's office to talk about it and I explained everything to her from the bullying to the teachers withholding vital learning material to let the kids do whatever they wanted during class. She took away my prom , every school trip for the rest of the year, detention for the rest of the week and threatened my graduation. I was crushed. After that day I just stopped going and it was pretty early in the school year as well. A month before graduation I got a call from them stating I had good enough test scores and work grades prior to leaving so it was possible for me to graduate even though they robbed me of 3 years of my childhood and education. Lucky me right? Listen, whether you want to send your kid here or not is up to you but if your kid is a hard working, ambitious, quiet or even generally good person please don't send them here. It still haunts my cousin, friends and I that we had to go through all of that just to get a education from that school. /AUTHOR: Rabia Asif /RATING: 4 /TEXT: I loved all my teachers, just had very little trips, but, still one of my best memorable places ever! /AUTHOR: Valentino /RATING: 1 /TEXT: The worst school ever mad fights all most very day but at the school there is only 4 good teachers mister nickaleta miss sagen mister  shocen /AUTHOR: Isaiah Gaming /RATING: 3 /TEXT: The School ain't so good but it's good. The majority of kids are plain out stupid. Staff and teachers are biased but at-least I can learn something. /AUTHOR: anonymous commenter /RATING: 3 /TEXT: The school, and the teachers are great I love all of them. Except for one. The 6th grade dean is a very nice person, but personally I feel that she doesn't listen to students before she calls them out.",Brooklyn,3.3,,Community Park,unknown
