Name,rating,num_ratings,zip,uid,address,boro,reviews,lat,website,long,photo,hours,type
Manley's Place Garden,4.6,4884,11208,163991,2535 Pitkin Avenue,Brooklyn," /AUTHOR: Aloys Wijngaards /RATING: 5 /TEXT: I loved the Brooklyn botanical gardens! I was here in early Spring, when the beautiful cherry blossoms had just kicked off. I can only imagine what the gardens must be like when there are even more flowers. The conservatory has several areas (temperate, desert, tropical) with beautiful plants. There's also a space dedicated to bonsai trees. The shop will allow you to start your own botanical garden... definitely worth a visit, it's a lovely way to balance the hectic NY concrete jungle. /AUTHOR: Aron Reyder /RATING: 5 /TEXT: Great place to come and relax. The place is clean and quiet. The sights are beautiful. There is so much to see here. Each plant it labeled with it's name and origin. There are outdoor plants which should be see at the end of the spring/ beginning of the summer. There is an indoor conservatory that houses exotic plants year round. This is well worth the price to come, relax, and see the sights. /AUTHOR: Chantelle Roberson /RATING: 3 /TEXT: My son's class was there for a field trip. It would have been nice to see more flowers in bloom. Some specimens we're blooming but they were more in the ground. It would have been nice if there were types that last year round or bloom in winter. Nice up-keep, but very ordinary. /AUTHOR: Emily M /RATING: 5 /TEXT: Brooklyn Botanic Garden was amazing. I went here many times! Recently though, I went to see the cherry blossoms, (only a few have bloomed) and got some nice shots! Also, a hawk lives nearby so I recommend bringing a camera with a long lens if you like to take pictures of birds! /AUTHOR: Sharon Ali /RATING: 5 /TEXT: Such a peaceful relaxing atmosphere. There's a couple of eateries so you can have a really good time. The conservatory was blooming. The magnolias we're in bloom and so was the daffodils. There's a newly opened section with a few benches and Boulder seating this is a welcome addition for those with issue sitting on and getting up from the lawns. It is free on Fridays 8am-12pm. It's a must visit to get away from the bustle of the city",40.674639,https://bbg.org/,-73.878671,https://maps.googleapis.com/maps/api/place/photo?maxwidth=5472&photoreference=CmRaAAAAKjWKa2o2cG7Z_C7XO8QFpZ-WU3aDGemVucnRfWB_i4IVzGNT7uUdLebJLrL3bwktCskBSRcD6f-X_grkWwRp3pht4yuzBLksAv1LetJfbaDktEom00T2weddW3vZEtRfEhAJgJsbZYiIomNBwXDedD_0GhRtx8_KbXQKsOGy6hj9BC5SWlhh2A&key=AIzaSyBYcuFsV7KTFtJsVKVFcrOEhKYhqpv8V7Y,"['Monday: Closed', 'Tuesday: 8:00 AM – 6:00 PM', 'Wednesday: 8:00 AM – 6:00 PM', 'Thursday: 8:00 AM – 6:00 PM', 'Friday: 8:00 AM – 6:00 PM', 'Saturday: 10:00 AM – 6:00 PM', 'Sunday: 10:00 AM – 6:00 PM']",Community Garden
Shiloh Garden,0,0,11216,81071,Monroe Street,Brooklyn,None Available,40.68629,None Available,-73.945212,None Available,unknown,Garden
Carl Schurz Park,4.6,1212,10028,86125,97 East End Avenue,Manhattan," /AUTHOR: Gisele Kauer /RATING: 5 /TEXT: A very nice park, where you can have a beautiful sight of the sea. A pet friendly place, with a nice area for dogs to play and walk! Also, it has a playground for the kids and a good area for running and walking. It has a great accessibility for wheelchair and elderly people. There are lots of banks o take a rest! A nice place for taking photos - the park has beautiful landscapes! /AUTHOR: Rayhan Rashid /RATING: 5 /TEXT: Really beautiful place... Everybody should go there with family... A small park by east river... Good part is very nice and quiet place in crowdy city.... /AUTHOR: Anthony Minoia /RATING: 4 /TEXT: Nice park. Good for kids to run and play. East River views with a cool breeze. Bring snacks because no stores near the entrance. /AUTHOR: Ruth Parker /RATING: 4 /TEXT: I didn't know this place until I keep yelping to find places that I have never been to in L.A. And wow ! I am so amazed how beautiful the view is from this park.  When i get to this park, there is a small parking lot that has free parking spaces. After that you basically just follow different trails that will lead you to the most famous bench in this park that has one of the best view of New York, NY city. Definitely recommend to stop by and take some pictures ! It is worth going to walk around and chill with family and friends! /AUTHOR: Brian BUGSY Moran /RATING: 3 /TEXT: Very old and run down but always busy because of location in heavily populated upper east side wealthy neighborhood with tons of kids with caregivers. Close to beautiful walking paths and East River promenade, 2 dog parks and Gracie Mansion.",40.77514,http://www.carlschurzparknyc.org/,-73.9435,https://maps.googleapis.com/maps/api/place/photo?maxwidth=3264&photoreference=CmRaAAAA4OWXjAOCK-AhafjhwwRO4mBsKgPFOujiApitfoNCxav_E548gpORJZE8Y53usVU--2lPlmGrdhxc5Lc5L3C28HftpwUcoqL12xom2-3Q-y4JcW6fsaR5cLaAF1ywQNrCEhDUakW4z_OWq2S45so0ufIPGhSxHWYMpiyZYDPiJiEk-ZmKHBxoyA&key=AIzaSyBYcuFsV7KTFtJsVKVFcrOEhKYhqpv8V7Y,"['Monday: 6:00 AM – 12:00 AM', 'Tuesday: 6:00 AM – 12:00 AM', 'Wednesday: 6:00 AM – 12:00 AM', 'Thursday: 6:00 AM – 12:00 AM', 'Friday: 6:00 AM – 12:00 AM', 'Saturday: 6:00 AM – 12:00 AM', 'Sunday: 6:00 AM – 12:00 AM']",Neighborhood Park
Hancock T and T,3.4,64,11216,5268,322 Hancock Street,Brooklyn," /AUTHOR: UNCLE WAYNE G ADORATION G /RATING: 5 /TEXT: Came to the store for an upgrade. Got a new phone and they helped me transfer all of my information. Shae helped me and then Casandra helped me put the screen protector perfect. Best T-Mobile workers ever. Thank you will come back to this same store. /AUTHOR: lamont sanders /RATING: 2 /TEXT: Sale clerk for 2/12/19 around 6pm rude not friendly at times would demand I not open to view what I just paid for without saying a word just walked away ending session after sale I felt along and miserable in this place from that young woman. I left with no additional information or help.but the cell phone was mind at least /AUTHOR: kaylene songui /RATING: 5 /TEXT: My visit to this location was great. The sales Rep was very helpful and she  was very informative. My husband bought two phones. The Reps at this location was very up beat....will recommend my family and friends. /AUTHOR: shaquelle jacobs /RATING: 1 /TEXT: Worst store everytime i go there i never get nothing done. I called over the phone and ask if they got a iphone x, the employee said yes. Now when i went to the store she said she dont have it 🤦🏻‍♂️Smh worseeeeeeeeeeeee /AUTHOR: Phillip Bacchus /RATING: 1 /TEXT: Couldn't get my purchase made becuse of the new payment system. I have a credit/debit card where purchases must be made with credit and its not allowing me to.",40.683104,https://www.t-mobile.com/store-locator/ny/brooklyn/fulton-nostrand-ave-shoppes-at-yorktown,-73.943059,https://maps.googleapis.com/maps/api/place/photo?maxwidth=2576&photoreference=CmRaAAAASsrxOJQSFAVcoapYLZ0hT1bSCqpJcIOErE1md46lE8rYDcneMsSl0otHfMn_dwXG-QJIE__wqDwa8uHDZOj-Kd1W8DxqlWlOLh7DaBTygNb6Mo6xed3-KeKD9muB-9TTEhDuTPXQkqrsRsaqEo9qSVQQGhRTAALDoxxUrTbpIapxa5PYoPfodA&key=AIzaSyBYcuFsV7KTFtJsVKVFcrOEhKYhqpv8V7Y,"['Monday: 10:00 AM – 7:00 PM', 'Tuesday: 10:00 AM – 7:00 PM', 'Wednesday: 10:00 AM – 7:00 PM', 'Thursday: 10:00 AM – 7:00 PM', 'Friday: 10:00 AM – 7:00 PM', 'Saturday: 10:00 AM – 7:00 PM', 'Sunday: 11:00 AM – 6:00 PM']",Garden
Jack Breininger Park,4.4,86,11426,58556,239-12 Braddock Avenue,Queens," /AUTHOR: Manny Akim /RATING: 5 /TEXT: Best park, been going for a long while.  Great handball competition and a great bunch of guys.  Good for kids as well /AUTHOR: DaDerpPlayer 41 /RATING: 5 /TEXT: Big large space /AUTHOR: John Healy /RATING: 5 /TEXT: I watched some really great handball matches this past Saturday afternoon. There was a tournament that attracted some of the best handball players in the New York area /AUTHOR: J Santiago /RATING: 5 /TEXT: Good park to exercise. /AUTHOR: Renel Gedeon /RATING: 5 /TEXT: Fun tons to see and do no matter if problem or amateur people who love park come to breininger  playground",40.725827,https://www.nycgovparks.org/parks/breininger-park/,-73.728978,https://maps.googleapis.com/maps/api/place/photo?maxwidth=3264&photoreference=CmRaAAAALF31ufp2iJaZ7EbuBiPEvG4S6TsPY0FhDbf3yEb62DdksRzZi0ZpjuP45rp5NdCOH_AfmygU0M0ft4I_t6ZvcoAVKNgH8FEKxjeO8WIoy1GeBvD1NNyvr4n-TIeoxMEzEhBCgp_bJJT_kBELfrMT-7V_GhSLl7wHcZ5E8gzWz4_muzgJVWPgJw&key=AIzaSyBYcuFsV7KTFtJsVKVFcrOEhKYhqpv8V7Y,"['Monday: 6:00 AM – 9:00 PM', 'Tuesday: 6:00 AM – 9:00 PM', 'Wednesday: 6:00 AM – 9:00 PM', 'Thursday: 6:00 AM – 9:00 PM', 'Friday: 6:00 AM – 9:00 PM', 'Saturday: 6:00 AM – 9:00 PM', 'Sunday: 6:00 AM – 9:00 PM']",Park
Kosciusko Street Park,0,0,11221,164312,385 Kosciuszko Street,Brooklyn,None Available,40.692232,None Available,-73.939347,None Available,unknown,Park
Garden Of Happiness,4.2,13,10457,118123,2158 Prospect Avenue,Bronx, /AUTHOR: Lourdes Baltazar /RATING: 4 /TEXT: Good  Upkeep Of The Garden /AUTHOR: Roberto Sambolin III /RATING: 3 /TEXT: Good /AUTHOR: curtis williams /RATING: 5 /TEXT: Visiting Family /AUTHOR: Orquídea Green /RATING: 4 /TEXT: Me pareció muy bien /AUTHOR: Edwin Sanchez /RATING: 4 /TEXT: Exelente,40.848537,None Available,-73.884985,https://maps.googleapis.com/maps/api/place/photo?maxwidth=3024&photoreference=CmRaAAAA_xhdg4RndRnuZYxM8QPRQxRHsChJsaFz3gj-pRsrzId5V_JiW9PbvFSWS8HoLKN7SOmdIMHDIT2Z55bzMzqphmlheGv818vEl6jSzxqDnYPyi3aMX-u7DRfbxXL0JF7LEhB8cXFYQcsIIdNdCbPYgxe8GhTQhtlCZBx7wWtaMvrENfg2gd0WoA&key=AIzaSyBYcuFsV7KTFtJsVKVFcrOEhKYhqpv8V7Y,"['Monday: 6:00 AM – 9:00 PM', 'Tuesday: 6:00 AM – 9:00 PM', 'Wednesday: 6:00 AM – 9:00 PM', 'Thursday: 6:00 AM – 9:00 PM', 'Friday: 6:00 AM – 9:00 PM', 'Saturday: 6:00 AM – 9:00 PM', 'Sunday: 6:00 AM – 9:00 PM']",Garden
Edgecombe Park,0,0,10031,113067,Edgecombe Avenue,Manhattan,None Available,40.826556,None Available,-73.942075,None Available,unknown,Garden
St. Mary's Park,4,1419,10454,195939,376 St Anns Avenue,Bronx," /AUTHOR: Esther Odusote /RATING: 3 /TEXT: The park itself is a nice park, especially with the recreation center close by. For the south Bronx, it's definitely provides some fresh air and tranquility. However, the area near to the park is not safe for children and family, especially if you are walking from the train station towards the park. I think once the area is cleaned up the park will be better off for the community as a whole. /AUTHOR: Ace cardona /RATING: 4 /TEXT: I think it would be better if the needles weren't always laid out on the grass or side walk. Good place to go to walk your dog in the summer and look at the trees also sit on hill tops. /AUTHOR: JAHMEL DIMMOCK /RATING: 4 /TEXT: ACTUALLY WAS JUST PASSING BY YESTERDAY  , BUT FROM LIVING WITHIN THE COMMUNITY  , KNOW OF THE PARK , AND ACTUALLY HAVE BEEN IN THE PARK AT CERTAIN TIMES  , WITH MY YOUNGEST SON AND GRANDCHILDREN  ...... ST. MARY'S PARK CAN AT TIMES BE A QUITE RELAXING PLACE FROM TIME TO TIME  ..... /AUTHOR: Sarah Arguello /RATING: 3 /TEXT: I like going for walks here in the mornings sometimes. But it can be a bit dangerous so keep alert. I know people make the effort to maintain the park but it's sad in the summer when people dump their picnic trash all over the place. Come on people, keep these places clean. Keep the community clean. /AUTHOR: jason miles /RATING: 5 /TEXT: Spent most of my childhood on ""The Rock. "" I love this park. Along with the rec center, there's things to do year round. These are different times now but I still love it.",40.81147,https://www.nycgovparks.org/parks/st-marys-park/,-73.912219,https://maps.googleapis.com/maps/api/place/photo?maxwidth=5312&photoreference=CmRaAAAAiguLkfPeP1sTOyDe3XX7OLL4WzEdOX8BPSGYAokdZbZqFFaO7Z_3pzQoN5zn-elPbB3cEaBNYatKWd11Z-qXnzdtfJBzEzKxaXRZEUTC7atj41V8C7RN0cJ5azfKFXuYEhDE18PY1FeC6130nIs18p3TGhR3wDCk6AdwcUSoSwySKU9H4ytylQ&key=AIzaSyBYcuFsV7KTFtJsVKVFcrOEhKYhqpv8V7Y,"['Monday: 6:00 AM – 10:00 PM', 'Tuesday: 6:00 AM – 10:00 PM', 'Wednesday: 6:00 AM – 10:00 PM', 'Thursday: 6:00 AM – 10:00 PM', 'Friday: 6:00 AM – 10:00 PM', 'Saturday: 6:00 AM – 10:00 PM', 'Sunday: 6:00 AM – 10:00 PM']",Community Park
La Tourette Park.& Golf Course,3.8,18,10314,20115,Forest Hill Road,Staten+Island," /AUTHOR: Chris P /RATING: 3 /TEXT: Petit parc pour enfants à Craponne.. Hélas et hormis le city stade, pas beaucoup de jeux pour les petits et tout petits.. /AUTHOR: Bruno Mortgat /RATING: 5 /TEXT: Super lieu de promenade, même si on n'est pas fan de Le Corbusier. /AUTHOR: anuttaravdo /RATING: 3 /TEXT:  /AUTHOR: Мя. δεяφзитαяᎠ /RATING: 1 /TEXT:  /AUTHOR: VOISIN OLIVIER /RATING: 4 /TEXT: ",40.57239,http://www.couventdelatourette.fr/le-batiment/le-parc.html,-74.161775,https://maps.googleapis.com/maps/api/place/photo?maxwidth=4160&photoreference=CmRaAAAARVb11b76YwDKbAxKbJzuHEO-spFn7-bDm8ZLtQ944JKVCATb46dYe3i-SAnpsbq2n5Xjg-sJVoUXOkq8LyAQpX1Lyq9Ld-roDZM7HhpYJM3i7ksbOWsGjp1gkWWLynHkEhA4zFZ9iJcYQBeHdG6RKSocGhS0SyWSi8NzLbUCqDqxD1D6Ujigng&key=AIzaSyBYcuFsV7KTFtJsVKVFcrOEhKYhqpv8V7Y,"['Monday: 10:00 AM – 5:30 PM', 'Tuesday: 10:00 AM – 5:30 PM', 'Wednesday: 10:00 AM – 5:30 PM', 'Thursday: 10:00 AM – 5:30 PM', 'Friday: 10:00 AM – 5:30 PM', 'Saturday: 10:00 AM – 5:30 PM', 'Sunday: Closed']",Park
E N Y Vocational HS Plgd,3.8,35,11208,109346,79 Fountain Avenue,Brooklyn," /AUTHOR: nando_o94 nando_o94 /RATING: 5 /TEXT: @nando_o94 follow me on intergarm /AUTHOR: Mister Lizzy /RATING: 5 /TEXT: This is one of ENY's hidden treasures! The school really engages the parents. Great staff! /AUTHOR: Davindra oudho /RATING: 5 /TEXT: i am currently a junior in this school, and i do not know what people are talking about this school being a racist school. i feel this school is very safe and every one in this school even teachers cooperate well. even the security guards in this school are respectful. if you talk to them they will talk to you. this school also have some major benefits. one major benefit of this school is it has a partnership with the MTA  (Metropolitan Transportation Authority) and it also have good after school clubs and sports. so far my experience at transit tech HS is one of the best i have had. /AUTHOR: Farheen K B /RATING: 5 /TEXT: My eldest son is attending this school and Now he's a junior. I would definitely say that this school is very good and has lots of opportunities. Proud parent of a honor roll student /AUTHOR: MICHAEL DOLDRON /RATING: 5 /TEXT: Hi my name  is Michael DOLDRON im High School graduate of the Class of 2006. This school was very good and excellent because of options of taking a vocational program skill and turning it up to real career is what i liked when i attended.  Plus my class from 2002 to 2006 was the first generation to see economical and diversity change's among many people and student's from all over the world. Yes it was rough in those days average highschool  Students was either making best of it happen for themselves or making bad decisions and make life worst and to pay for. But me i succeed no matter i was called in school i kept my minded right plus never followed crowd's. I always did my thing. My Teacher's was cool they did there thing and all of nice lovely boy's back then ahhh highschool of TRANSIT TECHNOLOGY HIGH SCHOOL OF EAST NEWYORK.😘😘😄😄💋",40.679522,https://transittechhs.org/,-73.876242,https://maps.googleapis.com/maps/api/place/photo?maxwidth=2435&photoreference=CmRaAAAAKEgIsUn46XJQcejLQVx9GslvLMyEeOEZBcdVg-Qw-zUxSg07IDjPWy34EZPc0_74j0--EeSnm1NdSRzBqFzldLt0k-qu5cwHy4IVza-77djYgbElZ-FI6u0HEsixzztQEhCH4_YrcTiKLqvpA6H1sSPQGhThM_bgGpjWNfPe1R-oeeavUvr-dg&key=AIzaSyBYcuFsV7KTFtJsVKVFcrOEhKYhqpv8V7Y,unknown,Park
Vernon New Harvest,0,0,11206,77505,44 Vernon Avenue,Brooklyn,None Available,40.694261,None Available,-73.950304,None Available,unknown,Garden
Samuel H Young Park,0,0,10461,48993,East Tremont Avenue,Bronx,None Available,40.841647,https://www.nycgovparks.org/parks/samuel-h-young-park/,-73.838759,https://maps.googleapis.com/maps/api/place/photo?maxwidth=1200&photoreference=CmRaAAAAx6yqla1BOlbtOdKlfmZcFn7ClJZzPamLPiPjoJanATessAiYDVKvZdMiLFLS9Rl469-LrDU6igXDd0WEQUy9GjgVEdmWSoyf-B7ORexnLHo3wmQkcGh38Yjsl49OuJklEhAGsguV5EY4kI2HKgAAsB3VGhSnZ5FpVRJtzzCVTRHPBWf26B2wWA&key=AIzaSyBYcuFsV7KTFtJsVKVFcrOEhKYhqpv8V7Y,"['Monday: 6:00 AM – 10:00 PM', 'Tuesday: 6:00 AM – 10:00 PM', 'Wednesday: 6:00 AM – 10:00 PM', 'Thursday: 6:00 AM – 10:00 PM', 'Friday: 6:00 AM – 10:00 PM', 'Saturday: 6:00 AM – 10:00 PM', 'Sunday: 6:00 AM – 10:00 PM']",Park
Wagner Houses.Pool,4.5,19,10035,47694,349 East  124 Street,Manhattan," /AUTHOR: Ebony Santiago /RATING: 5 /TEXT: I love this pool. I been coming here for years since I was 2 months old now I'm 23 years old. I bring my little cousins and nieces here every year. Two years ago or even three this pool would be packed now it's hardly anyone and I love that. You could play tag without saying excuse me. No arguing, No waiting to use the locker or bathroom. Bathroom always have tissue. You must sprinkle yourself before heading to the pool. One thing I hate about this pool though it's no music. I'm not asking for hip hop or pop, they could at least play jazz or classic. Besides that I love this pool. It's not deep  It's the perfect size. /AUTHOR: Raul Martinez /RATING: 5 /TEXT: Best pool off all the ones in Harlem. Waters clean plus bathroom and shower rooms are very nice and staff friendly and respectful /AUTHOR: Cristina Negron /RATING: 5 /TEXT: I like this pool,it rarely gets packed,the chairs are nice & the staff is nice. /AUTHOR: Flak the gamer /RATING: 5 /TEXT: If there's a cop there eveyone behaves /AUTHOR: Kesha Parks /RATING: 2 /TEXT: Took many grown men around little kids girls and boy and they need to lifeguard that gonna watch them and not be trying to get they rap on responsible adults to watch over these kids that be in there by them selfes",40.801554,https://www.nycgovparks.org/parks/wagner-houses-pool/facilities/outdoor-pools/wagner-pool,-73.932706,None Available,"['Monday: 11:00 AM – 3:00 PM, 4:00 – 7:00 PM', 'Tuesday: 11:00 AM – 3:00 PM, 4:00 – 7:00 PM', 'Wednesday: 11:00 AM – 3:00 PM, 4:00 – 7:00 PM', 'Thursday: 11:00 AM – 3:00 PM, 4:00 – 7:00 PM', 'Friday: 11:00 AM – 3:00 PM, 4:00 – 7:00 PM', 'Saturday: 11:00 AM – 3:00 PM, 4:00 – 7:00 PM', 'Sunday: 11:00 AM – 3:00 PM, 4:00 – 7:00 PM']",Park
The Amazing Garden,4.4,9,11231,112981,263 Columbia Street,Brooklyn," /AUTHOR: Damon Lesjack /RATING: 5 /TEXT: Great name, not too amazing though, I was expecting more art, sculptures, water features, flowers, gazebos or other things to garner the sense of amazingness. A lovely space regardless, worth passing by if you're going this way on a nice walk through Brooklyn. /AUTHOR: Alex Barker /RATING: 5 /TEXT: Small, quaint and well-loved little garden. Nice place to relax. /AUTHOR: Tsali Chaskley /RATING: 5 /TEXT: Relaxing /AUTHOR: Raul Navarrete /RATING: 5 /TEXT:  /AUTHOR: Sam Mcafee /RATING: 5 /TEXT: ",40.683136,None Available,-74.003344,https://maps.googleapis.com/maps/api/place/photo?maxwidth=3200&photoreference=CmRaAAAA7Kbk3BGQ02eI76rUPtrmFOnjCXRYGQfkGjmRAsSkISKzKDhtXhtzrEYXL4nIGRzuGvYHVg15uMpKy3kF7FZ3JzYrFzL4Z7HZs5cTJNxwHDZJqCvWkQlbl5bWv5RK9HC7EhDZs_Sx0r32ocMgS6sqiPgfGhRCt-_DIFQtawjATApuFZBvmGiQQw&key=AIzaSyBYcuFsV7KTFtJsVKVFcrOEhKYhqpv8V7Y,unknown,Garden
CS 134 Community Improvement Garden,3.7,6,10459,136761,Bristow Street,Bronx, /AUTHOR: Sylvester Ward /RATING: 5 /TEXT: Beautiful place to go /AUTHOR: Ruben A Rodriguez /RATING: 3 /TEXT:  /AUTHOR: ARIEL SALAS /RATING: 5 /TEXT:  /AUTHOR: Robert Simmons /RATING: 1 /TEXT:  /AUTHOR: Marisol Munoz /RATING: 3 /TEXT: ,40.830998,None Available,-73.895027,None Available,unknown,Garden
Triangle,3.8,20,10451,82707,Washington Avenue,Bronx," /AUTHOR: Denise Thompson /RATING: 4 /TEXT: Great fit for our community, friendly employees and fruits and vegetables are the best in our area. The prices are very affordable. /AUTHOR: melo Rod /RATING: 1 /TEXT: Bad neighborhood not even  worth giving any stars8 /AUTHOR: It's me Katie /RATING: 1 /TEXT: TOO MUCH FUN AND DRUNKIES SITTING THERE /AUTHOR: James French /RATING: 5 /TEXT: WORKING WHAT ELSE /AUTHOR: Luisa Roman /RATING: 5 /TEXT: Its, o.k. ",40.824562,https://www.nycgovparks.org/parks/freeman-triangle/,-73.910859,https://maps.googleapis.com/maps/api/place/photo?maxwidth=4128&photoreference=CmRZAAAAEHmFPMUkVzkVWNWhwkH0F0DMdQhB9TzZXoiYK0C1TGTsiRd48XxoAa-Lj5QiiPW5Z9-AVdw5_T3-bEEzsUz9k9CoTpT3GfWJgimLDOVaRzeQ5aQqxYUvJMVnZDNXJbZMEhD665pYBgEu2Y3tUjSq0XwVGhRVoZ0fZUCD6gf96ysaTEIIcpjnqQ&key=AIzaSyBYcuFsV7KTFtJsVKVFcrOEhKYhqpv8V7Y,unknown,Park
Queensbridge.Park,4.3,704,11101,42743,Queens Plaza South,Queens," /AUTHOR: Pearson Raff /RATING: 5 /TEXT: I visit this place very often with my family since we all can enjoy here. children prefer to play in the ground around the bridge and take swings. i usually prefer to sit around the riverside and just relax. i have seen people coming for the gym nearby and a few of my friends also come for the yoga classes regularly. /AUTHOR: Gulshan Meem /RATING: 5 /TEXT: The park is very peaceful and an amazing view of the river n the city. Nice place to excersize n play sports. It also has amazing designing. It also has a sense of community. Love this place. /AUTHOR: Hyekyung Kim /RATING: 5 /TEXT: I really like to go this place. Peaceful time is available always. /AUTHOR: johnny mac /RATING: 5 /TEXT: Really nice views of the East Side of Manhattan with the large swath of the East River running along it. /AUTHOR: Tania Linares G. /RATING: 5 /TEXT: wherever you are, the view is so amazing. It's the main point between Queens and Manhattan. Don't miss it!!",40.754023,https://www.nycgovparks.org/parks/queensbridgepark/,-73.947805,https://maps.googleapis.com/maps/api/place/photo?maxwidth=2700&photoreference=CmRaAAAA22XTSxPE2u3-3O4bwLDTIkDp0ltYSZ4DLsf9ux71L9pWpzo4gowTBHfsPR2ebmaj4twYfRuel5Sf7k3o5MXSImnIKXJx8SVHuorBDJ4pySfOtv1M-_EfDnhYi3yn0pl9EhCAO2gzveUcrnpgZrP3bOPpGhQtMY_F7d2M1Jgl5WFH45QGqWWJPw&key=AIzaSyBYcuFsV7KTFtJsVKVFcrOEhKYhqpv8V7Y,"['Monday: 6:00 AM – 9:00 PM', 'Tuesday: 6:00 AM – 9:00 PM', 'Wednesday: 6:00 AM – 9:00 PM', 'Thursday: 6:00 AM – 9:00 PM', 'Friday: 6:00 AM – 9:00 PM', 'Saturday: 6:00 AM – 9:00 PM', 'Sunday: 6:00 AM – 9:00 PM']",Park
Tom Mcdonald Triangle,0,0,11209,74860,8307 6 Avenue,Brooklyn,None Available,40.621916,https://www.nycgovparks.org/parks/tom-mcdonald-triangle,-74.022597,None Available,unknown,Park
Red Shed Garden,4.8,11,11211,115362,Skillman Avenue,Brooklyn," /AUTHOR: Adam Wozney /RATING: 4 /TEXT: Never been inside. Have you? From the outside looking in, I'd say it's a solid 4 out of 5 stars. I'll for sure update if I ever go in. /AUTHOR: Bronwyn Harris /RATING: 5 /TEXT: Come join! :) /AUTHOR: Michael Cesare /RATING: 5 /TEXT: Peace &Quite!   /AUTHOR: Ueli Johner /RATING: 5 /TEXT: Love this place! /AUTHOR: Armin Lahiji /RATING: 4 /TEXT: ",40.716102,http://redshedgarden.com/,-73.94027,https://maps.googleapis.com/maps/api/place/photo?maxwidth=2988&photoreference=CmRaAAAAyVjWPJyGTd_86EVcpK6KD9T3n4VV25PJ9as91CLmFQdD8DIw2AOhbxEap-_yM96DOSmUKMdknnFGCefaXOp5lhXNt-zX-ht2hhgylhuesBV_LacRm-eZpVCFTRtOlwF3EhAsLWMYk2aJxJ8eqFayv8-NGhTpSncS7oVZtjGg5MKQa129Nc882A&key=AIzaSyBYcuFsV7KTFtJsVKVFcrOEhKYhqpv8V7Y,"['Monday: 4:30 – 7:30 PM', 'Tuesday: 4:30 – 7:30 PM', 'Wednesday: 4:30 – 7:30 PM', 'Thursday: 4:30 – 7:30 PM', 'Friday: 4:30 – 7:30 PM', 'Saturday: 4:30 – 7:30 PM', 'Sunday: Closed']",Garden
Straus Park,4.4,55,10025,166027,2761 Broadway,Manhattan," /AUTHOR: Tangerois3 Maroc /RATING: 4 /TEXT: Straus Park is a small public park located between West 106th and West 107th Street on Broadway on the Upper West Side of Manhattan.   It was founded to honor the memory of businessman Isidor Straus and his wife Ida Straus. They died in the Titanic disaster in 1912. Isidor Straus was a co-owner, along with his brothers, of Macy's--the world's largest department store--and he was also a philanthropist. /AUTHOR: Erma Jackson /RATING: 4 /TEXT: What a wonderful place! Hiking with family and my furry kid, been waiting forever to come to NY and hike. Great views, photo opportunities. /AUTHOR: Rocio Poore /RATING: 4 /TEXT: This hike is nowy favorite  hike at night make it up to the peak after sunset and enjoy a 360 degree view off all the lights all around you. It is amazing and i had a big stupid smile.on my fave the whole way back down /AUTHOR: William Altham /RATING: 5 /TEXT: March 30. Daffodils are able. /AUTHOR: Adam Martinez /RATING: 5 /TEXT: This Park Has Made A Wonderful Transfomation, From An Eye Sore To The Beauty That You See Today, 44 Years In The Neighborhood.....",40.801745,https://www.nycgovparks.org/parks/straus-park/,-73.968179,https://maps.googleapis.com/maps/api/place/photo?maxwidth=1280&photoreference=CmRaAAAAUvJaiPICEQm3BnbE6N2d8NVr3h2BmX23CXTT97vgAJ80PxXS0_pLDgoReePjsNJNEk6wWFfF1YD-vVGOUC_G858iq0VhHMKa0_Grvm8VC4iixwz6j8qdCt15BFK8qdieEhCZtqmWDy0gCpHvBwqUivCmGhQzlsJcsG_5q-Qoz8VUFR03z4zOdA&key=AIzaSyBYcuFsV7KTFtJsVKVFcrOEhKYhqpv8V7Y,"['Monday: 6:00 AM – 1:00 AM', 'Tuesday: 6:00 AM – 1:00 AM', 'Wednesday: 6:00 AM – 1:00 AM', 'Thursday: 6:00 AM – 1:00 AM', 'Friday: 6:00 AM – 1:00 AM', 'Saturday: 6:00 AM – 1:00 AM', 'Sunday: 6:00 AM – 1:00 AM']",Park
